PRO_COM_T,COMUNE,provincia,sigla,riduzione,area_kmq,pop_2024
084040,Santo Stefano Quisquina,Agrigento,AG,20 - 30,85.52,3998
084041,Sciacca,Agrigento,AG,20 - 30,191.67,38712
084042,Siculiana,Agrigento,AG,20 - 30,40.99,4159
084043,Villafranca Sicula,Agrigento,AG,20 - 30,17.63,1320
085001,Acquaviva Platani,Caltanissetta,CL,30 - 70,14.63,855
085002,Bompensiere,Caltanissetta,CL,30 - 70,19.95,479
085003,Butera,Caltanissetta,CL,30 - 70,298.52,4123
085004,Caltanissetta,Caltanissetta,CL,10 - 20,421.25,58342
085005,Campofranco,Caltanissetta,CL,30 - 70,36.11,2596
085006,Delia,Caltanissetta,CL,30 - 70,12.4,3864
085007,Gela,Caltanissetta,CL,20 - 30,279.22,70811
085008,Marianopoli,Caltanissetta,CL,0 - 10,13.07,1561
085009,Mazzarino,Caltanissetta,CL,20 - 30,295.59,10827
085010,Milena,Caltanissetta,CL,30 - 70,24.63,2660
085011,Montedoro,Caltanissetta,CL,10 - 20,14.53,1356
085012,Mussomeli,Caltanissetta,CL,30 - 70,164.42,9919
085014,Resuttano,Caltanissetta,CL,0 - 10,38.27,1717
085015,Riesi,Caltanissetta,CL,20 - 30,67,10401
085016,San Cataldo,Caltanissetta,CL,10 - 20,72.77,20659
085017,Santa Caterina Villarmosa,Caltanissetta,CL,0 - 10,75.81,4578
085018,Serradifalco,Caltanissetta,CL,30 - 70,41.94,5454
085019,Sommatino,Caltanissetta,CL,30 - 70,34.76,6339
085020,Sutera,Caltanissetta,CL,30 - 70,35.58,1162
085021,Vallelunga Pratameno,Caltanissetta,CL,10 - 20,39.37,3057
085022,Villalba,Caltanissetta,CL,10 - 20,41.82,1390
086001,Agira,Enna,EN,20 - 30,164.08,7593
086003,Assoro,Enna,EN,20 - 30,112.15,4772
086004,Barrafranca,Enna,EN,20 - 30,53.71,11617
086005,Calascibetta,Enna,EN,20 - 30,89.12,4031
086008,Cerami,Enna,EN,20 - 30,95.05,1850
086009,Enna,Enna,EN,20 - 30,358.74,25367
086010,Gagliano Castelferrato,Enna,EN,20 - 30,56.24,3201
086011,Leonforte,Enna,EN,20 - 30,84.39,12183
086012,Nicosia,Enna,EN,20 - 30,218.51,12589
086013,Nissoria,Enna,EN,20 - 30,61.82,2828
086014,Piazza Armerina,Enna,EN,20 - 30,304.54,20709
086015,Pietraperzia,Enna,EN,20 - 30,118.11,6304
086017,Sperlinga,Enna,EN,20 - 30,59.14,675
086018,Troina,Enna,EN,20 - 30,168.28,8423
086019,Valguarnera Caropepe,Enna,EN,20 - 30,9.41,6837
086020,Villarosa,Enna,EN,20 - 30,54.89,4328
