nome,latitudine,longitudine,n__arch_,utd,regione,provincia,comune,corso_d_acqua,tipologia,altezza_ndt_2014__m_,altezza_dm_marzo_82__m_,vol__di_invaso__Mmc_,quota_max_di_reg___m_slm_,uso_prevalente,anno_inizio_lavori,anno_fine_lavori,indirizzo_google_maps
Castel San Vincenzo,41.652145,14.059947,0658_,Napoli,Molise,IS,Castel San Vincenzo,Rio Salzera,Di terra e/o pietrame con nucleo verticale (b.2.),32.00,34.50,5.60,697.00,Idroelettrico,1955,1958,https://goo.gl/maps/BcZmZ84n4CCBpsgQ8
Montagna Spaccata 1,41.721868,14.010203,0658C,Napoli,Abruzzo,AQ,Alfedena,Rio Torto,A cupola (a.2.3.),71.00,88.50,9.50,,Idroelettrico,1954,1958,https://goo.gl/maps/oPL4TLjXbk1Y8DE46
Montagna Spaccata 2,41.720930,14.011636,0658D,Napoli,Abruzzo,AQ,Alfedena,Rio Torto,A gravità a speroni pieni (a.1.2.),14.40,14.40,9.50,,Idroelettrico,1954,1958,https://goo.gl/maps/FiutS2iW8c42ecCU8
Montagna Spaccata 3,41.719954,14.012656,0658E,Napoli,Abruzzo,AQ,Alfedena,Rio Torto,Di pietrame con manto (b.3.),16.44,16.69,9.50,,Idroelettrico,1954,1958,https://goo.gl/maps/jPpe4bo3ZA7za4hX7
Ponte Annibale,41.132821,14.270423,0663_,Napoli,Campania,CE,Pontelatone - Capua - Bellona,Volturno,Traversa in calcestruzzo (c.),14.00,27.00,7.40,26.50,Idroelettrico,1953,1977,https://goo.gl/maps/VYa2XpgU7NdWYZyj9
Selva,41.605047,13.966289,0689_,Napoli,Lazio,FR,Vallerotonda - San Biagio Saracinisco,Rio Schiavonaro,Di terra e/o pietrame con nucleo verticale (b.2.),32.79,33.79,2.15,886.00,Idroelettrico,1956,1958,https://goo.gl/maps/n4kiCa9gCca3v4fy7
Bomba,42.015810,14.353985,0715_,Napoli,Abruzzo,CH,Pennadomo - Bomba,Sangro,Di terra e/o pietrame con nucleo inclinato (b.2.),57.50,57.50,83.29,255.00,Idroelettrico,1955,1960,https://goo.gl/maps/zH1J6zuti8kUjdPr7
Casoli,42.095141,14.259236,0716_,Napoli,Abruzzo,CH,Casoli,Aventino,A gravità a speroni pieni (a.1.2.),47.00,54.00,21.00,255.00,Idroelettrico,1955,1958,https://goo.gl/maps/9rtsjA4y2XScz9z46
Pertusillo,40.275757,16.001233,0722_,Napoli,Basilicata,PZ,Spinoso,Agri,Ad arco gravità (a.2.2.),90.00,101.00,152.19,531.00,Irriguo,1957,1963,https://goo.gl/maps/R5VtmjnCxYRELome7
Pontecorvo,41.467160,13.631857,0723_,Napoli,Lazio,FR,Pontecorvo,Liri,A gravità ordinaria in calcestruzzo (a.1.1.),19.50,26.00,1.40,61.00,Idroelettrico,1957,1959,https://goo.gl/maps/ho5FNV18SyZhDtbM6
Contrada Sabetta,40.191211,15.554484,0729_,Napoli,Campania,SA,Caselle in Pittari,Bussento,Di pietrame con manto (b.3.),26.00,32.50,0.74,312.50,Idroelettrico,1957,1959,https://goo.gl/maps/tT6Ycg1NJ3budT6R9
Fabbrica,40.187705,15.202188,0854A,Napoli,Campania,SA,Ceraso,Vallone Mandrone delle Fabbriche,Di terra e/o pietrame con nucleo verticale (b.2.),25.39,29.10,1.15,97.79,Irriguo,1981,1983,https://goo.gl/maps/AQKh1qF6pTvy4f1m7
San Giovanni Corrente,40.190928,15.233930,0854B,Napoli,Campania,SA,Ceraso,Palistro,Di terra omogenea (b.1.),18.00,21.50,0.23,221.30,Irriguo,1963,1964,https://goo.gl/maps/dF8ruLKtyQQzqr5P6
Marana Capacciotti,41.158746,15.817224,1115_,Napoli,Puglia,FG,Cerignola,Marana Capacciotti,Di terra e/o pietrame con nucleo verticale (b.2.),49.32,50.00,49.32,191.25,Irriguo,1968,1976,https://goo.gl/maps/QTZqonZEw8Bdu3BZ6
Camastra,40.543643,16.000222,1124_,Napoli,Basilicata,PZ,Trivigno,Camastra,Di terra e/o pietrame con nucleo verticale (b.2.),54.10,57.10,23.69,531.60,Irriguo,1962,1968,https://goo.gl/maps/sqo5MtCzm5bmVKxN9
Masseria Nicodemo,40.080631,15.936866,1126_,Napoli,Basilicata,PZ,Lauria,Sinni,Di terra e/o pietrame con nucleo verticale (b.2.),32.10,43.10,12.58,670.00,Idroelettrico,1967,1975,https://goo.gl/maps/b3saKfW5zAQ5K7tn6
Gallo,41.460298,14.228514,1171_,Napoli,Campania,CE,Gallo Matese,Sava,A gravità ordinaria in calcestruzzo (a.1.1.),19.30,27.00,8.55,840.00,Idroelettrico,1963,1965,https://goo.gl/maps/atEJw8iAaJHN115TA
Carmine,40.255920,15.295914,1184_,Napoli,Campania,SA,Moio della Civitella - Cannalonga,Carmine,Di terra e/o pietrame con nucleo inclinato (b.2.),46.39,66.40,3.20,593.50,Irriguo,1974,1982,https://goo.gl/maps/GU6FcYkjENWnJaxX6
Nocellito,40.260342,15.307741,1184A,Napoli,Campania,SA,Cannalonga,Nocellito,A gravità ordinaria in calcestruzzo (a.1.1.),22.50,22.50,0.60,674.50,Irriguo,1971,1982,https://goo.gl/maps/6c77xuAukZ6JGywXA
Fiume Grande,40.635751,17.985517,1221_,Napoli,Puglia,BR,Brindisi,Fiume Grande,Di terra e/o pietrame con nucleo verticale (b.2.),5.90,9.90,1.80,3.20,Industriale,1961,1962,https://goo.gl/maps/HobNaJ6uXBgRK4t76
Serra del Corvo,40.842578,16.241155,1295_,Napoli,Puglia,BA,Gravina in Puglia,Basentello,Di terra e/o pietrame con nucleo verticale (b.2.),34.29,41.50,33.50,269.00,Irriguo,1969,1974,https://goo.gl/maps/RPvqEoa9Nufr4gUEA
Conza,40.878245,15.324571,1314_,Napoli,Campania,AV,Conza della Campania,Ofanto,Di terra e/o pietrame con nucleo verticale (b.2.),34.64,47.00,74.00,434.80,Irriguo,1974,1992,https://goo.gl/maps/DZJVxr5bYaWywXkY8
Monte Cotugno,40.180980,16.351076,1327_,Napoli,Basilicata,PZ,Senise,Sinni,Di terra con manto (b.3.),65.50,67.90,482.00,252.00,Irriguo,1972,1983,https://goo.gl/maps/eoHUta8wNPFoBQW5A
Cillarese,40.636697,17.911036,1341_,Napoli,Puglia,BR,Brindisi,Canale Cillarese,Di terra e/o pietrame con nucleo verticale (b.2.),18.50,33.50,4.90,17.00,Industriale,1973,1980,https://goo.gl/maps/Gm9xLgsd6mcbDpEz6
