nome,latitudine,longitudine,n__arch_,utd,regione,provincia,comune,corso_d_acqua,tipologia,altezza_ndt_2014__m_,altezza_dm_marzo_82__m_,vol__di_invaso__Mmc_,quota_max_di_reg___m_slm_,uso_prevalente,anno_inizio_lavori,anno_fine_lavori,indirizzo_google_maps
Cimia,37.188208,14.350848,1337A,Palermo,Sicilia,CL,Niscemi,Cimia,Di terra e/o pietrame con nucleo verticale (b.2.),39.00,46.36,10.00,140.50,Irriguo,1975,1980,https://goo.gl/maps/uctsg51kEia93AQy8
Paceco,37.978179,12.576164,1364_,Palermo,Sicilia,TP,Paceco,Baiata,Di terra e/o pietrame con nucleo verticale (b.2.),30.84,33.50,6.70,41.00,Irriguo,1980,1984,https://goo.gl/maps/ZqRwgz5R1mz7cw9j8
Garcia,37.788052,13.102956,1377_,Palermo,Sicilia,PA,Contessa Entellina,Belice Sinistro,Di terra e/o pietrame con nucleo verticale (b.2.),45.00,54.32,80.00,194.00,Irriguo,1976,1984,https://goo.gl/maps/gj5aCa7s1vUGaCi48
Gibbesi,37.312451,13.984101,1402_,Palermo,Sicilia,AG,Naro,Gibbesi,Di terra e/o pietrame con nucleo verticale (b.2.),30.00,37.50,11.40,230.00,Irriguo,1978,2000,https://goo.gl/maps/sdSwfP9rDdbHN4Yf8
Castello,37.578356,13.411648,1427_,Palermo,Sicilia,AG,Bivona - Alessandria della Rocca,Magazzolo,Di pietrame con manto (b.3.),49.50,49.50,21.00,293.64,Irriguo,1976,1982,https://goo.gl/maps/BuuLvCvyZtdLW3Z3A
Cannamasca,37.650222,13.774950,1433_,Palermo,Sicilia,AG,Cammarata,Chiapparotta,Di terra e/o pietrame con nucleo verticale (b.2.),26.00,41.60,1.90,437.32,Irriguo,1990,1990,https://goo.gl/maps/SvTQh2QojuNnR4iK7
Marchesa,37.884672,13.043207,1453_,Palermo,Sicilia,PA,Monreale,Sirignano,Di terra omogenea (b.1.),17.10,19.10,0.35,216.00,Irriguo,1978,1979,https://goo.gl/maps/QhQdpaMiVfr8Ybsd8
Monte Cavallaro,37.127522,15.142349,1517A,Palermo,Sicilia,SR,Priolo Gargallo,Anapo,Di terra con manto (b.3.),31.50,31.50,5.68,405.30,Idroelettrico,1981,1988,https://goo.gl/maps/nMG41JhhPSDw5gRD9
Ponte Diddino,37.108813,15.141978,1517B,Palermo,Sicilia,SR,Priolo Gargallo,Anapo,Di pietrame con manto (b.3.),25.10,25.10,7.45,94.29,Idroelettrico,1981,1986,https://goo.gl/maps/4ZT3kUkJ1oQTvWSn8
Sciaguana,37.599884,14.594281,1537_,Palermo,Sicilia,EN,Agira,Sciaguana,Di terra e/o pietrame con nucleo verticale (b.2.),42.00,55.00,11.35,257.10,Irriguo,1984,1992,https://goo.gl/maps/s1QmC57ngA5JQB4z8
Ponte Barca,37.534135,14.872614,1575_,Palermo,Sicilia,CT,Paterno',Simeto,Traversa in calcestruzzo (c.),16.00,19.00,0.82,63.50,Irriguo,1982,1988,https://goo.gl/maps/uWWcpnKqXB17HfCg6
Pietrarossa,37.366342,14.579180,1583_,Palermo,Sicilia,EN,Aidone,Margherito,Di terra e/o pietrame con nucleo verticale (b.2.),40.00,45.60,46.00,188.34,Irriguo,1987,1987,https://goo.gl/maps/b1uToqoYp9wXx2JK8
Furlo,43.654519,12.732809,0076_,Perugia,Marche,PS,Fossombrone,Candigliano,Ad arco gravità (a.2.2.),44.70,59.00,1.68,174.68,Idroelettrico,1920,1922,https://goo.gl/maps/V4VNHCV5nTUFjdL16
Vulci,42.440232,11.627078,0077_,Perugia,Lazio,VT,Montalto di Castro,Fiora,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),13.50,15.50,10.69,72.00,Idroelettrico,1919,1923,https://goo.gl/maps/eE1QBabGDi82rHBu6
San Cosimato,42.015065,12.909665,0078_,Perugia,Lazio,RM,Vicovaro,Aniene,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),19.00,20.50,0.15,286.50,Idroelettrico,1913,1922,https://goo.gl/maps/5fjT7p7xb6VAXKCE8
Scandarello,42.641129,13.269532,0080_,Perugia,Lazio,RI,Amatrice,Scandarello,A gravità ordinaria in calcestruzzo (a.1.1.),44.00,55.50,12.50,868.29,Idroelettrico,1920,1927,https://goo.gl/maps/GdRmiC9EbMxnphUK8
San Domenico al Sagittario,41.946500,13.827493,0081_,Perugia,Abruzzo,AQ,Villalago,Sagittario,A volte sostenute da contrafforti (a.1.2.),28.89,80.00,1.16,806.50,Idroelettrico,1923,1928,https://goo.gl/maps/FSpWi7LfYcXtCdW79
Alanno,42.263922,13.960287,0151_,Perugia,Abruzzo,PE,Scafa,Pescara,Di terra con manto (b.3.),16.44,20.94,0.57,124.00,Idroelettrico,1928,1930,https://goo.gl/maps/fCcMEBmzefb1Z4uPA
Gerosa,42.896083,13.385444,0168_,Perugia,Marche,FM,Montefortino,Aso,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),17.75,25.50,0.80,857.70,Idroelettrico,1922,1927,https://goo.gl/maps/FcnS53X15w9ZxF9q6
Salto,42.279673,13.024471,0195A,Perugia,Lazio,RI,Petrella Salto,Salto,A gravità ordinaria in calcestruzzo (a.1.1.),93.00,108.00,268.55,540.50,Idroelettrico,1937,1940,https://goo.gl/maps/Vft6FcKvvMpt3DwL9
Turano,42.232380,12.941425,0195B,Perugia,Lazio,RI,Rocca Sinibalda,Turano,A gravità ordinaria in calcestruzzo (a.1.1.),73.00,80.00,163.00,540.00,Idroelettrico,1936,1938,https://goo.gl/maps/asD7k8jLN6ZiC8v99
Provvidenza,42.509403,13.410494,0252_,Perugia,Abruzzo,AQ,L'Aquila,Vomano,Ad arco semplice (a.2.2.),46.20,52.20,2.40,,Idroelettrico,1939,1947,https://goo.gl/maps/gK4t8jZ9bMuKRm7z7
Nazzano,42.200524,12.612791,0366_,Perugia,Lazio,RM,Nazzano,Tevere,Traversa in calcestruzzo (c.),13.69,26.39,18.00,29.50,Idroelettrico,1952,1956,https://goo.gl/maps/9GhFUmKbhKgXuemZA
La Morica,42.499395,12.490290,0374_,Perugia,Umbria,TR,Narni,Nera,Traversa in calcestruzzo (c.),16.00,24.50,0.48,75.00,Idroelettrico,1937,1938,https://goo.gl/maps/BTM1CKfhAwFvEa5H6
Poggio Cancelli,42.556506,13.337968,0392A,Perugia,Abruzzo,AQ,Campotosto,Rio Castellano,Di terra e/o pietrame con nucleo verticale (b.2.),27.30,28.19,218.00,,Idroelettrico,1965,1969,https://goo.gl/maps/uMvbVJxgdz3JdSmE7
Rio Fucino,42.535508,13.409741,0392B,Perugia,Abruzzo,AQ,Campotosto,Fucino,A gravità ordinaria in calcestruzzo (a.1.1.),36.70,49.00,218.00,,Idroelettrico,1966,1971,https://goo.gl/maps/ZQp7ceR5j7EJwsDK8
Sella Pedicate,42.513518,13.367683,0392C,Perugia,Abruzzo,AQ,Campotosto,Vallone San Giovanni,A gravità ordinaria in calcestruzzo (a.1.1.),20.75,26.50,218.00,,Idroelettrico,1965,1971,https://goo.gl/maps/LoAgUSSEKst3a2yP6
Corbara,42.703579,12.230697,0446_,Perugia,Umbria,TR,Orvieto,Tevere,A gravità a speroni pieni (a.1.2.),52.00,52.00,192.00,138.00,Idroelettrico,1959,1963,https://goo.gl/maps/M9WpAZ2TRPzW2ftC9
Fiastrone,43.060585,13.183646,0461_,Perugia,Marche,MC,Fiastra,Fiastrone,Ad arco gravità (a.2.2.),81.50,87.00,21.69,640.00,Idroelettrico,1950,1954,https://goo.gl/maps/KqU9tTExjDzJ51Q59
Borgiano,43.146063,13.205207,0483_,Perugia,Marche,MC,Serrapetrona,Chienti,A gravità ordinaria in calcestruzzo (a.1.1.),26.39,31.39,5.40,296.89,Idroelettrico,1953,1955,https://goo.gl/maps/H5oqDyNhLEifyj1f9
San Ruffino,43.009519,13.397398,0536_,Perugia,Marche,FM,Amandola,Tenna,A gravità ordinaria in calcestruzzo (a.1.1.),20.00,23.50,2.58,354.00,Irriguo,1951,1957,https://goo.gl/maps/qfLUHhr34ZyfH44d6
Castel Giubileo,41.988302,12.497658,0553_,Perugia,Lazio,RM,Roma,Tevere,Traversa in calcestruzzo (c.),15.50,30.00,26.00,17.00,Idroelettrico,1947,1951,https://goo.gl/maps/1z2byPrPJQrW1R1HA
San Liberato,42.468222,12.435474,0564_,Perugia,Umbria,TR,Narni,Nera,Di terra e/o pietrame con nucleo verticale (b.2.),13.00,20.00,6.00,57.14,Idroelettrico,1951,1953,https://goo.gl/maps/jUbvVxysc4cHBUtd9
Piaganini,42.560988,13.563392,0651_,Perugia,Abruzzo,TE,Fano Adriano,Vomano,Ad arco gravità (a.2.2.),43.50,45.50,1.40,397.00,Idroelettrico,1953,1955,https://goo.gl/maps/fJJNFyUxCVNuSGcU7
Villa Pera,42.964670,13.440014,0654_,Perugia,Marche,AP,Comunanza,Aso,A gravità ordinaria in calcestruzzo (a.1.1.),22.50,33.50,0.69,408.50,Idroelettrico,1952,1955,https://goo.gl/maps/RQTRaF4bVFNwYTeT8
Colombara,42.795675,13.436882,0655_,Perugia,Marche,AP,Acquasanta Terme,Tronto,A gravità ordinaria in calcestruzzo (a.1.1.),19.71,25.19,0.50,301.00,Idroelettrico,1953,1955,https://goo.gl/maps/J6JaXZH4nidiTFPj8
Marroggia,42.709889,12.622142,0664_,Perugia,Umbria,PG,Spoleto,Marroggia,A gravità ordinaria in calcestruzzo (a.1.1.),40.50,42.89,6.26,410.00,Irriguo,1958,1962,https://goo.gl/maps/8JhmdpzK5qy4Kpak6
Cerventosa,43.295436,12.054831,0673_,Perugia,Toscana,AR,Cortona,Rio Cerventosa,Di pietrame con manto (b.3.),29.00,31.00,0.13,788.85,Potabile,1956,1961,https://goo.gl/maps/oatti1CtNzbNPS9bA
Aia,42.520479,12.543960,0686_,Perugia,Umbria,TR,Narni,Aia,Di terra e/o pietrame con nucleo verticale (b.2.),13.80,14.80,5.57,112.50,Idroelettrico,1955,1957,https://goo.gl/maps/NSoRb1LXnGyXMDsP6
Penne,42.439046,13.912811,0687_,Perugia,Abruzzo,PE,Penne,Tavo,Di terra e/o pietrame con nucleo verticale (b.2.),35.70,39.39,9.19,256.00,Irriguo,1966,1969,https://goo.gl/maps/Wr3Ksxb93nrZBHN9A
San Lazzaro,43.681873,12.771251,0713A,Perugia,Marche,PS,Fossombrone,Metauro,A gravità ordinaria in calcestruzzo (a.1.1.),14.90,18.39,1.50,116.50,Idroelettrico,1956,1958,https://goo.gl/maps/metpgFxb7PdNUH2Y9
Tavernelle,43.734356,12.894145,0713B,Perugia,Marche,PU,Serrungarina,Metauro,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),13.00,17.39,1.88,61.00,Idroelettrico,1956,1965,https://goo.gl/maps/st2dgUtLsTLvRYb39
Talvacchia,42.783879,13.512188,0718_,Perugia,Marche,AP,Ascoli Piceno,Castellano,Ad arco gravità (a.2.2.),72.12,77.12,13.55,507.00,Idroelettrico,1957,1960,https://goo.gl/maps/LmrScxuPuYNdnXnT9
Mercatale,43.783851,12.490479,0740_,Perugia,Marche,PS,Sassocorvaro,Foglia,A gravità ordinaria in calcestruzzo (a.1.1.),26.10,31.50,5.92,221.00,Irriguo,1958,1962,https://goo.gl/maps/TX4omdePHoq6bUPj6
Ponte Felice,42.383429,12.448771,0748_,Perugia,Lazio,VT,Gallese,Tevere,Traversa in calcestruzzo (c.),12.90,23.19,6.00,42.50,Idroelettrico,1957,1959,https://goo.gl/maps/VpWWfosdBAHVjRC37
Elvella,42.836333,11.846044,0762_,Perugia,Lazio,VT,San Casciano dei Bagni,Elvella,Di terra e/o pietrame con nucleo verticale (b.2.),31.10,35.20,4.50,382.50,Irriguo,1967,1972,https://goo.gl/maps/maQDPGe2GKpPmGfM9
Madonna delle Mosse,42.445494,11.729349,0779_,Perugia,Lazio,VT,Canino,Fosso Timone,Di terra e/o pietrame con nucleo verticale (b.2.),29.50,31.00,1.73,143.65,Irriguo,1968,1975,https://goo.gl/maps/B4ujTc85LVfxNASt8
Sugarella,42.395812,11.734239,0780_,Perugia,Lazio,VT,Canino,Fosso Arroncino,Di terra e/o pietrame con nucleo verticale (b.2.),16.39,17.00,0.26,85.70,Irriguo,1962,1963,https://goo.gl/maps/1WGDbbqPSF4KexPx5
Fosso del Prete,42.124635,11.797958,0891_,Perugia,Lazio,RM,Civitavecchia,Fosso del Prete,Di terra omogenea (b.1.),21.00,21.00,0.46,64.50,Irriguo,1958,1959,https://goo.gl/maps/FZUz7Y4ZQAiY5sc57
Astrone - Chianciano,43.035032,11.794965,0979_,Perugia,Toscana,SI,Chianciano Terme,Astrone,Di terra e/o pietrame con nucleo verticale (b.2.),28.00,31.00,0.65,486.00,Potabile,1961,1963,https://goo.gl/maps/irSvgi3LRYDBZYxa8
Le Grazie,43.189159,13.273232,0992_,Perugia,Marche,MC,Tolentino,Chienti,Traversa in calcestruzzo (c.),17.50,20.00,1.77,221.69,Idroelettrico,1960,1963,https://goo.gl/maps/gZ2f2cqhG3yNyqH1A
Polverina,43.087330,13.110213,1015_,Perugia,Marche,MC,Camerino,Chienti,Di terra e/o pietrame con nucleo verticale (b.2.),24.00,27.50,5.80,400.00,Idroelettrico,1963,1967,https://goo.gl/maps/gufaY74TSBX9wYa76
Alviano,42.588225,12.255489,1070_,Perugia,Umbria,TR,Alviano,Tevere,Traversa in calcestruzzo (c.),14.00,23.89,10.65,77.50,Idroelettrico,1962,1964,https://goo.gl/maps/oUAVi4pFajs8Yo668
San Felice di Giano,42.842446,12.563753,1071_,Perugia,Umbria,PG,Spoleto,Impluvio,Di terra omogenea (b.1.),17.00,20.00,0.12,411.64,Irriguo,1964,1965,https://goo.gl/maps/5FGeZqWBSuTxMMNh7
Comunanza,42.896077,13.385451,1110_,Perugia,Marche,AP,Montefortino - Comunanza,Aso,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),71.00,76.29,13.65,643.51,Irriguo,1977,1983,https://goo.gl/maps/85JdDN44y1mZXBY6A
Mondaino,43.862242,12.669521,1163_,Perugia,Emilia Romagna,RN,Mondaino,Tavollo,Di terra omogenea (b.1.),25.60,25.60,0.50,284.50,Plurimo,1962,1970,https://goo.gl/maps/SkcYzJX7tAGuyPgJ9
Montedoglio,43.588959,12.050863,1241_,Perugia,Toscana,AR,Sansepolcro - Anghiari,Tevere,Di terra e/o pietrame con nucleo verticale (b.2.),54.50,64.29,153.00,394.60,Irriguo,1977,1993,https://goo.gl/maps/8MQCwxbwtmMBPG748
Casanuova,43.186753,12.595411,1244_,Perugia,Umbria,PG,Valfabbrica,Chiascio,Di terra e/o pietrame con nucleo verticale (b.2.),74.00,88.00,200.00,330.00,Irriguo,1981,1994,https://goo.gl/maps/UZ6SmupfYtUuFjW4A
Castreccioni,43.383095,13.162394,1381_,Perugia,Marche,MC,Cingoli,Musone,A gravità ordinaria in calcestruzzo (a.1.1.),63.39,67.90,42.00,342.44,Irriguo,1981,1988,https://goo.gl/maps/9YueN5PRBYEhfskZ7
Sovara,43.568352,12.018912,1521_,Perugia,Toscana,AR,Anghiari,Sovara,A gravità ordinaria in calcestruzzo (a.1.1.),23.50,26.00,0.17,402.00,Irriguo,1981,1992,https://goo.gl/maps/Qf2L1wFF2nMHNbS66
Rio Canale,43.062989,13.798692,1549_,Perugia,Marche,FM,Campofilone,Rio Canale,Di terra e/o pietrame con nucleo verticale (b.2.),28.80,37.35,1.17,159.50,Irriguo,1985,1994,https://goo.gl/maps/Qcj3PCpQDTZsdyZKA
Marmore,42.543224,12.720846,1794_,Perugia,Umbria,TR,Terni,Velino,Traversa in calcestruzzo (c.),8.50,11.00,7.61,369.00,Idroelettrico,,1924,https://goo.gl/maps/6MmdaXdb1hRhLJyGA
Pratolungo (in progetto),41.939867,12.605247,1833_,Perugia,Lazio,RM,Roma,Fosso di Pratolungo,Traversa in calcestruzzo armato con spalle in terra (c.),11.85,16.85,2.42,28.50,Laminazione,2017,,https://goo.gl/maps/MDKUmEv4wcXQEGBa9
Combamala,44.477393,7.231409,0002_,Torino,Piemonte,CN,San Damiano Macra,Rio Paglieres,A solette sostenute da contrafforti (a.1.2.),35.00,42.29,0.40,914.00,Idroelettrico,1915,1916,https://goo.gl/maps/hg9cxX18ZzdZFvdw8
Vannino,46.384359,8.364995,0005_,Torino,Piemonte,VB,Formazza,Vannino,In muratura di pietrame a secco (b.3.),23.60,39.00,9.44,,Idroelettrico,1917,1921,https://goo.gl/maps/8C2B8boAXqvsEYNM7
Codelago,46.334283,8.282029,0006A,Torino,Piemonte,VB,Baceno,Rio d'Arbola,Di pietrame con manto (b.3.),24.50,27.69,16.10,,Idroelettrico,1908,1921,https://goo.gl/maps/r3CHuGYsDDYxxma88
Forcoletta,46.331060,8.286204,0006B,Torino,Piemonte,VB,Baceno,Rio d'Arbola,Di terra con manto (b.3.),11.76,15.19,16.10,,Idroelettrico,1908,1921,https://goo.gl/maps/3hXsbJBtKDUSsZZp6
Lago d'Avino,46.250122,8.132946,0008_,Torino,Piemonte,VB,Varzo,Rio Ciampere,Di pietrame con manto (b.3.),19.55,26.75,5.00,,Idroelettrico,1911,1913,https://goo.gl/maps/6YJHnvKSQfperXwq6
Busin,46.353087,8.364349,0009_,Torino,Piemonte,VB,Premia,Lago Busin,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),21.00,21.80,4.50,,Idroelettrico,1921,1923,https://goo.gl/maps/5fiqEcWyLcTAT5e3A
La Spina,44.852027,7.911872,0014A,Torino,Piemonte,TO,Pralormo,Rio Torto,Di terra omogenea (b.1.),20.19,20.19,1.60,291.89,Nessun utilizzo attuale,,1830,https://goo.gl/maps/i2N5oK4NLjZAX8w46
Melezet,45.051159,6.660736,0016_,Torino,Piemonte,TO,Bardonecchia,Melezet,A gravità ordinaria in calcestruzzo (a.1.1.),15.80,20.00,0.40,,Idroelettrico,1920,1921,https://goo.gl/maps/iaa2Lh7A4P2f2bf88
Lago Gabiet Sud,45.846080,7.846300,0017A,Torino,Valle D'Aosta,AO,Gressoney-La-Trinite',Lys,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),43.82,46.00,4.10,,Idroelettrico,1919,1922,https://goo.gl/maps/a3QUkhUXkZigSmtx9
Lago Gabiet Nord,45.852749,7.850216,0017B,Torino,Valle D'Aosta,AO,Gressoney-La-Trinite',Lys,Di terra omogenea (b.1.),10.69,11.40,4.10,,Idroelettrico,1919,1922,https://goo.gl/maps/hZqic9CBVXW8AfKy9
Lavagnina Inferiore,44.605893,8.754483,0018_,Torino,Piemonte,AL,Casaleggio Boiro,Gorzente,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),34.75,39.96,2.50,332.80,Idroelettrico,1911,1917,https://goo.gl/maps/hFK2mMdRQC28L6Dx5
Ortiglieto,44.569401,8.604524,0020_,Torino,Piemonte,AL,Molare,Orba,A gravità ordinaria in calcestruzzo (a.1.1.),13.15,14.13,1.40,299.14,Idroelettrico,1938,1940,https://goo.gl/maps/94Ct2LGGo1nCWwDF8
Valla,44.539545,8.338858,0021_,Torino,Piemonte,AL,Spigno Monferrato,Valla,Ad arco semplice (a.2.2.),44.75,49.25,1.99,280.00,Idroelettrico,1923,1925,https://goo.gl/maps/AjTCP1aLHfeJbyDLA
Alpe Cavalli,46.086873,8.112522,0022_,Torino,Piemonte,VB,Antrona Schieranco,Loranco,In muratura di pietrame a secco (b.3.),33.00,41.60,8.50,,Idroelettrico,1922,1926,https://goo.gl/maps/xa66nnLNfhLwJvHd8
Campliccioli,46.048311,8.077608,0023_,Torino,Piemonte,VB,Antrona Schieranco,Troncone,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),70.90,80.15,8.93,,Idroelettrico,1924,1928,https://goo.gl/maps/3wjsS9C2qHAZ1UPu5
Lago Cingino,46.030460,8.038044,0026_,Torino,Piemonte,VB,Antrona Schieranco,Rio Sangoria,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),46.00,50.85,4.11,,Idroelettrico,1927,1930,https://goo.gl/maps/t3Yo1SuWCQnman4r5
Gurzia,45.423907,7.755543,0031_,Torino,Piemonte,TO,Vistrorio - Vidracco,Chiusella,Ad arco semplice (a.2.2.),50.00,50.00,1.26,427.50,Idroelettrico,1922,1926,https://goo.gl/maps/Vpn19tceKdZb4HHSA
Cignana (I),45.878885,7.594403,0032_,Torino,Valle D'Aosta,AO,Valtournenche,La Plana,A gravità ordinaria in calcestruzzo (a.1.1.),55.50,58.29,16.16,,Idroelettrico,1925,1928,https://goo.gl/maps/9L1rbpyL9YQFeZvw5
Cignana (II),45.880762,7.597016,0032A,Torino,Valle D'Aosta,AO,Valtournenche,La Plana,In muratura di pietrame a secco (b.3.),16.00,24.50,16.16,,Idroelettrico,1925,1928,https://goo.gl/maps/7wEdVw8YdoxHWcsE7
Rochemolles,45.130960,6.764613,0033_,Torino,Piemonte,TO,Bardonecchia,Rochemolles,A gravità ordinaria in calcestruzzo (a.1.1.),60.00,63.00,3.76,,Idroelettrico,1923,1930,https://goo.gl/maps/S4o181Q8tLmf2kGT9
Lago Lavezze,44.553671,8.821028,0034A,Torino,Liguria,GE,Campomorone,Gorzente,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),38.00,39.50,3.26,647.00,Potabile,1880,1883,https://goo.gl/maps/TFXxZLRPYw4tVQvh7
Lago Lungo,44.546470,8.826490,0034B,Torino,Liguria,GE,Campomorone,Gorzente,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),39.25,47.00,4.67,685.45,Potabile,1887,1891,https://goo.gl/maps/DoBGB1ZFvX4AY7vF7
Lago Badana,44.551908,8.811389,0034C,Torino,Piemonte,AL,Bosio,Rio Badana,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),51.75,56.25,4.66,716.89,Potabile,1907,1914,https://goo.gl/maps/bpFfY4Fi4Xte3bpq5
Giacopiane,44.461856,9.394703,0037_,Torino,Liguria,GE,Borzonasca,Calandrino,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),44.50,45.32,4.81,,Idroelettrico,1924,1926,https://goo.gl/maps/ydE9wRtZAiDvz7gd7
Pian Sapejo,44.460668,9.399034,0037A,Torino,Liguria,GE,Borzonasca,Calandrino,A gravità a speroni con vani interni (a.1.2.),17.35,19.35,0.22,964.00,Idroelettrico,1924,1926,https://goo.gl/maps/YepRb7eMxYdctcjg7
Tagliata,44.463086,9.384985,0037B,Torino,Liguria,GE,Borzonasca,Lago di Giacopiane,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),6.78,9.19,4.81,,Idroelettrico,1924,1926,https://goo.gl/maps/wzdcUZ5tWMYhpshS8
Ceresole Reale Maggiore,45.428908,7.245525,0038_,Torino,Piemonte,TO,Ceresole Reale,Orco,A gravità ordinaria in calcestruzzo (a.1.1.),51.00,52.00,34.00,,Idroelettrico,1925,1930,https://goo.gl/maps/fsNwUzC62FVMN4ut8
Ceresole Reale Minore,45.430287,7.242391,0038A,Torino,Piemonte,TO,Ceresole Reale,Orco,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),17.00,18.00,34.00,,Idroelettrico,1925,1930,https://goo.gl/maps/2FENtqsyNG33NeT18
Val di Noci,44.493052,9.035226,0040_,Torino,Liguria,GE,Montoggio,Noci,A gravità ordinaria in calcestruzzo (a.1.1.),50.50,58.00,3.40,537.50,Potabile,1923,1931,https://goo.gl/maps/t5WskLJg735QUvvu6
Rimasco,45.855567,8.064371,0104_,Torino,Piemonte,VC,Rimasco,Sermenza,Ad arco semplice (a.2.2.),33.00,35.00,0.47,887.50,Idroelettrico,1923,1925,https://goo.gl/maps/uNxy6VqMpd8voXkSA
Lomellina,44.715570,8.806887,0112_,Torino,Piemonte,AL,Gavi,Gavalusso,A gravità a speroni pieni (a.1.2.),19.89,20.14,0.25,272.13,Irriguo,1894,,https://goo.gl/maps/QTopAtMvKSuW1QB28
Mazze' Canavese,45.302451,7.952849,0116_,Torino,Piemonte,TO,Mazze',Dora Baltea,Traversa in calcestruzzo (c.),7.40,9.66,3.00,212.30,Irriguo,1921,,https://goo.gl/maps/dFutvM8QRd19ju89A
Chiabrera,44.950439,7.186704,0136_,Torino,Piemonte,TO,Pomaretto,Rio Chiabrera,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),19.27,21.00,0.20,683.47,Idroelettrico,1925,1926,https://goo.gl/maps/RMcs62v9qgA85wPz6
San Damiano,44.484802,7.257483,0138_,Torino,Piemonte,CN,San Damiano Macra,Maira,Traversa in calcestruzzo (c.),16.50,25.00,0.29,700.00,Idroelettrico,1926,1927,https://goo.gl/maps/8pfCXCNcNcC21Qu58
Ceppo Morelli,45.970347,8.061844,0145_,Torino,Piemonte,VB,Ceppo Morelli,Anza,Ad arco semplice (a.2.2.),39.00,46.00,0.47,780.75,Idroelettrico,1929,1931,https://goo.gl/maps/QmwoyPZhZboiLu9P6
Place Moulin,45.897673,7.493567,0156_,Torino,Valle D'Aosta,AO,Bionaz,Buthier,Ad arco gravità (a.2.2.),143.50,155.00,105.48,,Idroelettrico,1961,1965,https://goo.gl/maps/sXYp9mBxravfNCWQ8
Camposecco,46.060341,8.050233,0174_,Torino,Piemonte,VB,Antrona Schieranco,Rio Banella,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),26.50,35.20,5.65,,Idroelettrico,1925,1930,https://goo.gl/maps/43G44oZsd1wrerAF7
Creva,45.991544,8.766750,0183_,Torino,Lombardia,VA,Luino,Fiume Tresa,A gravità ordinaria in calcestruzzo (a.1.1.),27.00,33.00,0.99,232.00,Idroelettrico,1927,1929,https://goo.gl/maps/vo3ivtmE2NqbPF227
Lago della Rossa,45.269020,7.148926,0204A,Torino,Piemonte,TO,Usseglio,Rio Gurie,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),24.00,27.80,8.57,,Idroelettrico,1929,1932,https://goo.gl/maps/Ax3xyv22fNGqxt2D9
Valtoggia,46.436746,8.431789,0224_,Torino,Piemonte,VB,Formazza,Roni,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),43.60,47.00,15.49,,Idroelettrico,1929,1932,https://goo.gl/maps/3KghwkQuEywpSaXs5
Lago Goillet,45.933099,7.664135,0262A,Torino,Valle D'Aosta,AO,Valtournenche,Marmore,A gravità ordinaria in calcestruzzo (a.1.1.),38.60,48.60,11.19,,Idroelettrico,1939,1947,https://goo.gl/maps/aS18HHZpUrYhkU3y6
Morasco,46.424413,8.400842,0271_,Torino,Piemonte,VB,Formazza,Gries,A gravità ordinaria in calcestruzzo (a.1.1.),54.77,59.00,17.75,,Idroelettrico,1936,1940,https://goo.gl/maps/o9KKxufdt8scaqV7A
Malciaussia,45.206248,7.143477,0279_,Torino,Piemonte,TO,Usseglio,Rio Solà,Ad arco semplice (a.2.2.),29.00,30.50,1.18,,Idroelettrico,1932,1933,https://goo.gl/maps/9khQhpwSL5Ssv9939
Alpe Larecchio,46.205069,8.430239,0286_,Torino,Piemonte,VB,Montecrestese,Rio Tomello,A gravità ordinaria in calcestruzzo (a.1.1.),33.00,35.00,2.67,,Idroelettrico,1937,1938,https://goo.gl/maps/fo6qvv7FGe6DjixUA
Agaro,46.292418,8.303451,0301_,Torino,Piemonte,VB,Premia,Rio Agaro,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),57.60,58.00,18.75,,Idroelettrico,1936,1940,https://goo.gl/maps/J81rfFyv7L4XYJr28
Agrasina,46.221566,8.408174,0335_,Torino,Piemonte,VB,Montecrestese,Isorno,A gravità ordinaria in calcestruzzo (a.1.1.),21.80,24.14,0.12,,Idroelettrico,1951,1953,https://goo.gl/maps/t5BXzQbYqVqHHjmDA
