cod,diga,data,volume
dig-21,Ragoleto,2024-12-01,3.89
dig-22,Rosamarina,2024-12-01,11.18
dig-23,Rubino,2024-12-01,0.79
dig-24,San Giovanni,2024-12-01,4.71
dig-25,Santa Rosalia,2024-12-01,7.67
dig-26,Scanzano,2024-12-01,3.22
dig-27,Sciaguana,2024-12-01,4.36
dig-28,Trinità,2024-12-01,3.44
dig-29,Zaffarana,2024-12-01,0.01
dig-01,Àncipa,2024-11-01,0.76
dig-02,Arancio,2024-11-01,3.24
dig-03,Castello,2024-11-01,4.37
dig-04,Cimia,2024-11-01,1.02
dig-05,Comunelli,2024-11-01,0.16
dig-06,Disueri,2024-11-01,0.25
dig-14,Ogliastro (Don Sturzo),2024-11-01,22.88
dig-07,Fanaco,2024-11-01,0.00
dig-08,Furore,2024-11-01,0.64
dig-31,Gammauta,2024-11-01,0.13
dig-09,Garcia (M. Francese),2024-11-01,11.69
dig-10,Gorgo Lago,2024-11-01,0.41
dig-11,Lentini,2024-11-01,55.67
dig-13,Nicoletti,2024-11-01,2.28
dig-15,Olivo,2024-11-01,3.44
dig-16,Paceco,2024-11-01,2.04
dig-17,Piana Degli Albanesi,2024-11-01,5.89
dig-12,Leone,2024-11-01,0.00
dig-18,Poma,2024-11-01,18.36
dig-19,Pozzillo,2024-11-01,4.57
dig-20,Prizzi,2024-11-01,1.81
dig-21,Ragoleto,2024-11-01,4.03
dig-22,Rosamarina,2024-11-01,12.37
dig-23,Rubino,2024-11-01,0.78
dig-24,San Giovanni,2024-11-01,4.76
dig-25,Santa Rosalia,2024-11-01,8.07
dig-26,Scanzano,2024-11-01,3.44
dig-27,Sciaguana,2024-11-01,4.41
dig-28,Trinità,2024-11-01,2.89
dig-29,Zaffarana,2024-11-01,0.01
dig-01,Àncipa,2024-10-01,1.42
dig-02,Arancio,2024-10-01,4.70
dig-03,Castello,2024-10-01,4.51
dig-04,Cimia,2024-10-01,0.61
dig-05,Comunelli,2024-10-01,0.00
dig-06,Disueri,2024-10-01,0.20
dig-07,Fanaco,2024-10-01,0.00
dig-08,Furore,2024-10-01,0.66
dig-31,Gammauta,2024-10-01,0.15
dig-09,Garcia (M. Francese),2024-10-01,13.00
dig-10,Gorgo Lago,2024-10-01,0.43
dig-11,Lentini,2024-10-01,59.38
dig-12,Leone,2024-10-01,0.00
dig-13,Nicoletti,2024-10-01,1.89
dig-14,Ogliastro (Don Sturzo),2024-10-01,21.34
dig-15,Olivo,2024-10-01,2.69
dig-16,Paceco,2024-10-01,2.07
dig-17,Piana Degli Albanesi,2024-10-01,6.61
dig-18,Poma,2024-10-01,20.53
dig-19,Pozzillo,2024-10-01,3.33
dig-20,Prizzi,2024-10-01,1.87
dig-21,Ragoleto,2024-10-01,4.56
dig-22,Rosamarina,2024-10-01,13.50
dig-23,Rubino,2024-10-01,0.81
dig-24,San Giovanni,2024-10-01,4.00
dig-25,Santa Rosalia,2024-10-01,8.53
dig-26,Scanzano,2024-10-01,3.55
dig-27,Sciaguana,2024-10-01,3.78
dig-28,Trinità,2024-10-01,2.77
dig-29,Zaffarana,2024-10-01,0.01
dig-01,Àncipa,2024-09-01,2.28
dig-02,Arancio,2024-09-01,6.54
dig-03,Castello,2024-09-01,5.10
dig-04,Cimia,2024-09-01,0.64
dig-05,Comunelli,2024-09-01,0.00
dig-06,Disueri,2024-09-01,0.16
dig-07,Fanaco,2024-09-01,0.00
dig-08,Furore,2024-09-01,0.75
dig-09,Garcia (M. Francese),2024-09-01,14.77
dig-10,Gorgo Lago,2024-09-01,0.48
dig-11,Lentini,2024-09-01,64.28
dig-12,Leone,2024-09-01,0.00
dig-13,Nicoletti,2024-09-01,1.71
dig-14,Ogliastro (Don Sturzo),2024-09-01,21.15
dig-15,Olivo,2024-09-01,2.63
dig-16,Paceco,2024-09-01,2.28
dig-17,Piana Degli Albanesi,2024-09-01,7.43
dig-18,Poma,2024-09-01,23.20
dig-19,Pozzillo,2024-09-01,2.61
dig-20,Prizzi,2024-09-01,1.94
dig-21,Ragoleto,2024-09-01,5.03
dig-22,Rosamarina,2024-09-01,14.78
dig-23,Rubino,2024-09-01,0.85
dig-24,San Giovanni,2024-09-01,4.22
dig-25,Santa Rosalia,2024-09-01,9.26
dig-26,Scanzano,2024-09-01,3.60
dig-27,Sciaguana,2024-09-01,3.70
dig-28,Trinità,2024-09-01,2.86
dig-29,Zaffarana,2024-09-01,0.01
dig-01,Àncipa,2024-08-01,3.65
dig-02,Arancio,2024-08-01,11.28
dig-03,Castello,2024-08-01,5.98
dig-04,Cimia,2024-08-01,0.71
dig-05,Comunelli,2024-08-01,0.00
dig-06,Disueri,2024-08-01,0.00
dig-07,Fanaco,2024-08-01,0.02
dig-08,Furore,2024-08-01,0.97
dig-09,Garcia (M. Francese),2024-08-01,16.82
dig-10,Gorgo Lago,2024-08-01,0.55
dig-11,Lentini,2024-08-01,69.49
dig-12,Leone,2024-08-01,0.00
dig-13,Nicoletti,2024-08-01,1.27
dig-14,Ogliastro (Don Sturzo),2024-08-01,21.39
dig-15,Olivo,2024-08-01,2.89
dig-16,Paceco,2024-08-01,2.67
dig-17,Piana Degli Albanesi,2024-08-01,8.41
dig-18,Poma,2024-08-01,27.73
dig-19,Pozzillo,2024-08-01,2.94
dig-20,Prizzi,2024-08-01,2.11
dig-21,Ragoleto,2024-08-01,6.05
dig-22,Rosamarina,2024-08-01,16.02
dig-23,Rubino,2024-08-01,0.94
dig-24,San Giovanni,2024-08-01,5.33
dig-25,Santa Rosalia,2024-08-01,10.20
dig-26,Scanzano,2024-08-01,3.72
dig-27,Sciaguana,2024-08-01,3.57
dig-28,Trinità,2024-08-01,3.19
dig-29,Zaffarana,2024-08-01,0.01
dig-01,Àncipa,2024-07-01,5.25
dig-02,Arancio,2024-07-01,14.60
dig-03,Castello,2024-07-01,8.32
dig-04,Cimia,2024-07-01,0.79
dig-05,Comunelli,2024-07-01,0.00
dig-06,Disueri,2024-07-01,0.11
dig-07,Fanaco,2024-07-01,0.36
dig-08,Furore,2024-07-01,0.94
dig-09,Garcia (M. Francese),2024-07-01,21.69
dig-10,Gorgo Lago,2024-07-01,0.79
dig-11,Lentini,2024-07-01,72.98
dig-12,Leone,2024-07-01,0.80
dig-13,Nicoletti,2024-07-01,1.52
dig-14,Ogliastro (Don Sturzo),2024-07-01,21.97
dig-15,Olivo,2024-07-01,3.30
dig-16,Paceco,2024-07-01,3.27
dig-17,Piana Degli Albanesi,2024-07-01,9.71
dig-18,Poma,2024-07-01,32.63
dig-19,Pozzillo,2024-07-01,4.25
dig-20,Prizzi,2024-07-01,2.74
dig-21,Ragoleto,2024-07-01,7.01
dig-22,Rosamarina,2024-07-01,17.51
dig-23,Rubino,2024-07-01,1.81
dig-24,San Giovanni,2024-07-01,7.22
dig-25,Santa Rosalia,2024-07-01,11.37
dig-26,Scanzano,2024-07-01,3.83
dig-27,Sciaguana,2024-07-01,3.81
dig-28,Trinità,2024-07-01,4.87
dig-29,Zaffarana,2024-07-01,0.02
dig-01,Àncipa,2024-06-01,6.78
dig-02,Arancio,2024-06-01,16.73
dig-03,Castello,2024-06-01,9.08
dig-04,Cimia,2024-06-01,0.86
dig-05,Comunelli,2024-06-01,0.00
dig-06,Disueri,2024-06-01,0.21
dig-07,Fanaco,2024-06-01,0.85
dig-08,Furore,2024-06-01,2.25
dig-09,Garcia (M. Francese),2024-06-01,24.25
dig-10,Gorgo Lago,2024-06-01,0.86
dig-11,Lentini,2024-06-01,75.18
dig-12,Leone,2024-06-01,1.22
dig-13,Nicoletti,2024-06-01,1.62
dig-14,Ogliastro (Don Sturzo),2024-06-01,22.49
dig-15,Olivo,2024-06-01,3.63
dig-16,Paceco,2024-06-01,3.73
dig-17,Piana Degli Albanesi,2024-06-01,10.46
dig-18,Poma,2024-06-01,35.87
dig-19,Pozzillo,2024-06-01,5.47
dig-20,Prizzi,2024-06-01,2.98
dig-21,Ragoleto,2024-06-01,8.18
dig-22,Rosamarina,2024-06-01,18.86
dig-23,Rubino,2024-06-01,2.75
dig-24,San Giovanni,2024-06-01,8.47
dig-25,Santa Rosalia,2024-06-01,11.63
dig-26,Scanzano,2024-06-01,4.96
dig-27,Sciaguana,2024-06-01,3.98
dig-28,Trinità,2024-06-01,5.08
dig-29,Zaffarana,2024-06-01,0.02
dig-01,Àncipa,2024-05-01,7.94
dig-02,Arancio,2024-05-01,16.70
dig-03,Castello,2024-05-01,9.07
dig-04,Cimia,2024-05-01,0.94
dig-05,Comunelli,2024-05-01,0.01
dig-06,Disueri,2024-05-01,0.23
dig-07,Fanaco,2024-05-01,1.17
dig-08,Furore,2024-05-01,2.64
dig-09,Garcia (M. Francese),2024-05-01,25.60
dig-10,Gorgo Lago,2024-05-01,0.88
dig-11,Lentini,2024-05-01,76.10
dig-12,Leone,2024-05-01,1.44
dig-13,Nicoletti,2024-05-01,1.67
dig-14,Ogliastro (Don Sturzo),2024-05-01,22.82
dig-15,Olivo,2024-05-01,3.83
dig-16,Paceco,2024-05-01,3.92
dig-17,Piana Degli Albanesi,2024-05-01,11.42
dig-18,Poma,2024-05-01,37.81
dig-19,Pozzillo,2024-05-01,5.84
dig-20,Prizzi,2024-05-01,3.06
dig-21,Ragoleto,2024-05-01,9.05
dig-22,Rosamarina,2024-05-01,19.79
dig-23,Rubino,2024-05-01,2.87
dig-24,San Giovanni,2024-05-01,8.82
dig-25,Santa Rosalia,2024-05-01,12.38
dig-26,Scanzano,2024-05-01,5.04
dig-27,Sciaguana,2024-05-01,3.98
dig-28,Trinità,2024-05-01,5.13
dig-29,Zaffarana,2024-05-01,0.03
dig-01,Àncipa,2024-04-01,8.89
dig-02,Arancio,2024-04-01,16.68
dig-03,Castello,2024-04-01,9.14
dig-04,Cimia,2024-04-01,0.84
dig-05,Comunelli,2024-04-01,0.14
dig-06,Disueri,2024-04-01,0.38
dig-07,Fanaco,2024-04-01,1.52
dig-08,Furore,2024-04-01,3.10
dig-09,Garcia (M. Francese),2024-04-01,26.72
dig-10,Gorgo Lago,2024-04-01,0.93
dig-11,Lentini,2024-04-01,78.81
dig-12,Leone,2024-04-01,1.64
dig-13,Nicoletti,2024-04-01,1.68
dig-14,Ogliastro (Don Sturzo),2024-04-01,23.14
dig-15,Olivo,2024-04-01,3.88
dig-16,Paceco,2024-04-01,4.11
dig-17,Piana Degli Albanesi,2024-04-01,12.33
dig-18,Poma,2024-04-01,39.61
dig-19,Pozzillo,2024-04-01,5.90
dig-20,Prizzi,2024-04-01,3.05
dig-21,Ragoleto,2024-04-01,9.64
dig-22,Rosamarina,2024-04-01,21.03
dig-23,Rubino,2024-04-01,2.98
dig-24,San Giovanni,2024-04-01,8.98
dig-25,Santa Rosalia,2024-04-01,13.02
dig-26,Scanzano,2024-04-01,5.08
dig-27,Sciaguana,2024-04-01,4.05
dig-28,Trinità,2024-04-01,5.13
dig-29,Zaffarana,2024-04-01,0.04
dig-01,Àncipa,2024-03-01,7.43
dig-02,Arancio,2024-03-01,15.93
dig-03,Castello,2024-03-01,8.52
dig-04,Cimia,2024-03-01,1.11
dig-05,Comunelli,2024-03-01,0.10
dig-06,Disueri,2024-03-01,0.75
dig-07,Fanaco,2024-03-01,1.57
dig-08,Furore,2024-03-01,1.84
dig-09,Garcia (M. Francese),2024-03-01,23.14
dig-10,Gorgo Lago,2024-03-01,0.94
dig-11,Lentini,2024-03-01,80.40
dig-12,Leone,2024-03-01,1.33
dig-13,Nicoletti,2024-03-01,1.66
dig-14,Ogliastro (Don Sturzo),2024-03-01,23.18
dig-15,Olivo,2024-03-01,3.88
dig-16,Paceco,2024-03-01,4.03
dig-17,Piana Degli Albanesi,2024-03-01,11.65
dig-18,Poma,2024-03-01,34.99
dig-19,Pozzillo,2024-03-01,4.58
dig-20,Prizzi,2024-03-01,2.21
dig-21,Ragoleto,2024-03-01,9.76
dig-22,Rosamarina,2024-03-01,20.98
dig-23,Rubino,2024-03-01,2.53
dig-24,San Giovanni,2024-03-01,9.83
dig-25,Santa Rosalia,2024-03-01,13.55
dig-26,Scanzano,2024-03-01,3.90
dig-27,Sciaguana,2024-03-01,4.06
dig-28,Trinità,2024-03-01,5.20
dig-29,Zaffarana,2024-03-01,0.04
dig-01,Àncipa,2024-02-01,8.01
dig-02,Arancio,2024-02-01,15.26
dig-03,Castello,2024-02-01,8.13
dig-04,Cimia,2024-02-01,0.73
dig-05,Comunelli,2024-02-01,0.00
dig-06,Disueri,2024-02-01,0.92
dig-07,Fanaco,2024-02-01,2.22
dig-08,Furore,2024-02-01,1.87
dig-09,Garcia (M. Francese),2024-02-01,22.60
dig-10,Gorgo Lago,2024-02-01,0.95
dig-11,Lentini,2024-02-01,80.94
dig-12,Leone,2024-02-01,1.30
dig-13,Nicoletti,2024-02-01,1.61
dig-14,Ogliastro (Don Sturzo),2024-02-01,22.88
dig-15,Olivo,2024-02-01,3.76
dig-16,Paceco,2024-02-01,4.01
dig-17,Piana Degli Albanesi,2024-02-01,11.54
dig-18,Poma,2024-02-01,35.18
dig-19,Pozzillo,2024-02-01,3.84
dig-20,Prizzi,2024-02-01,1.93
dig-21,Ragoleto,2024-02-01,10.00
dig-22,Rosamarina,2024-02-01,21.90
dig-23,Rubino,2024-02-01,2.40
dig-24,San Giovanni,2024-02-01,9.41
dig-25,Santa Rosalia,2024-02-01,13.95
dig-26,Scanzano,2024-02-01,3.78
dig-27,Sciaguana,2024-02-01,4.01
dig-28,Trinità,2024-02-01,4.37
dig-29,Zaffarana,2024-02-01,0.04
dig-01,Àncipa,2024-01-01,9.87
dig-02,Arancio,2024-01-01,14.56
dig-03,Castello,2024-01-01,7.54
dig-04,Cimia,2024-01-01,0.71
dig-05,Comunelli,2024-01-01,0.00
dig-06,Disueri,2024-01-01,0.52
dig-07,Fanaco,2024-01-01,3.02
dig-08,Furore,2024-01-01,1.90
dig-09,Garcia (M. Francese),2024-01-01,23.08
dig-10,Gorgo Lago,2024-01-01,0.91
dig-11,Lentini,2024-01-01,82.23
dig-12,Leone,2024-01-01,1.20
dig-13,Nicoletti,2024-01-01,1.59
dig-14,Ogliastro (Don Sturzo),2024-01-01,22.63
dig-15,Olivo,2024-01-01,3.71
dig-16,Paceco,2024-01-01,3.96
dig-17,Piana Degli Albanesi,2024-01-01,9.62
dig-18,Poma,2024-01-01,33.95
dig-19,Pozzillo,2024-01-01,3.78
dig-20,Prizzi,2024-01-01,1.76
dig-21,Ragoleto,2024-01-01,10.20
dig-22,Rosamarina,2024-01-01,23.49
dig-23,Rubino,2024-01-01,2.27
dig-24,San Giovanni,2024-01-01,8.82
dig-25,Santa Rosalia,2024-01-01,13.98
dig-26,Scanzano,2024-01-01,4.17
dig-27,Sciaguana,2024-01-01,3.98
dig-28,Trinità,2024-01-01,3.50
dig-29,Zaffarana,2024-01-01,0.04
dig-01,Àncipa,2023-12-01,11.86
dig-02,Arancio,2023-12-01,14.39
dig-03,Castello,2023-12-01,7.32
dig-04,Cimia,2023-12-01,0.71
dig-05,Comunelli,2023-12-01,0.00
dig-06,Disueri,2023-12-01,0.42
dig-07,Fanaco,2023-12-01,4.48
dig-08,Furore,2023-12-01,2.07
dig-09,Garcia (M. Francese),2023-12-01,24.28
dig-10,Gorgo Lago,2023-12-01,0.93
dig-11,Lentini,2023-12-01,83.94
dig-12,Leone,2023-12-01,1.56
dig-13,Nicoletti,2023-12-01,1.60
dig-14,Ogliastro (Don Sturzo),2023-12-01,22.55
dig-15,Olivo,2023-12-01,3.70
dig-16,Paceco,2023-12-01,4.03
dig-17,Piana Degli Albanesi,2023-12-01,10.48
dig-18,Poma,2023-12-01,36.04
dig-19,Pozzillo,2023-12-01,3.80
dig-20,Prizzi,2023-12-01,1.81
dig-21,Ragoleto,2023-12-01,10.64
dig-22,Rosamarina,2023-12-01,25.38
dig-23,Rubino,2023-12-01,2.30
dig-24,San Giovanni,2023-12-01,8.63
dig-25,Santa Rosalia,2023-12-01,14.36
dig-26,Scanzano,2023-12-01,4.76
dig-27,Sciaguana,2023-12-01,3.99
dig-28,Trinità,2023-12-01,3.18
dig-29,Zaffarana,2023-12-01,0.04
dig-01,Àncipa,2023-11-01,13.86
dig-02,Arancio,2023-11-01,15.43
dig-03,Castello,2023-11-01,7.54
dig-04,Cimia,2023-11-01,0.71
dig-05,Comunelli,2023-11-01,0.00
dig-06,Disueri,2023-11-01,0.16
dig-07,Fanaco,2023-11-01,5.58
dig-08,Furore,2023-11-01,1.60
dig-09,Garcia (M. Francese),2023-11-01,25.70
dig-10,Gorgo Lago,2023-11-01,0.94
dig-11,Lentini,2023-11-01,86.43
dig-12,Leone,2023-11-01,1.84
dig-13,Nicoletti,2023-11-01,1.62
dig-14,Ogliastro (Don Sturzo),2023-11-01,22.44
dig-15,Olivo,2023-11-01,3.74
dig-16,Paceco,2023-11-01,4.08
dig-17,Piana Degli Albanesi,2023-11-01,11.63
dig-18,Poma,2023-11-01,38.23
dig-19,Pozzillo,2023-11-01,3.82
dig-20,Prizzi,2023-11-01,2.54
dig-21,Ragoleto,2023-11-01,11.27
dig-22,Rosamarina,2023-11-01,28.02
dig-23,Rubino,2023-11-01,2.34
dig-24,San Giovanni,2023-11-01,8.92
dig-25,Santa Rosalia,2023-11-01,14.87
dig-26,Scanzano,2023-11-01,5.44
dig-27,Sciaguana,2023-11-01,3.94
dig-28,Trinità,2023-11-01,2.87
dig-29,Zaffarana,2023-11-01,0.04
dig-01,Àncipa,2023-10-01,16.13
dig-02,Arancio,2023-10-01,15.48
dig-03,Castello,2023-10-01,10.02
dig-04,Cimia,2023-10-01,1.32
dig-05,Comunelli,2023-10-01,0.00
dig-06,Disueri,2023-10-01,0.00
dig-07,Fanaco,2023-10-01,7.41
dig-08,Furore,2023-10-01,1.99
dig-09,Garcia (M. Francese),2023-10-01,33.97
dig-10,Gorgo Lago,2023-10-01,0.86
dig-11,Lentini,2023-10-01,89.14
dig-12,Leone,2023-10-01,2.28
dig-13,Nicoletti,2023-10-01,1.66
dig-14,Ogliastro (Don Sturzo),2023-10-01,22.68
dig-15,Olivo,2023-10-01,4.01
dig-16,Paceco,2023-10-01,4.28
dig-17,Piana Degli Albanesi,2023-10-01,13.24
dig-18,Poma,2023-10-01,40.75
dig-19,Pozzillo,2023-10-01,3.94
dig-20,Prizzi,2023-10-01,3.62
dig-21,Ragoleto,2023-10-01,12.35
dig-22,Rosamarina,2023-10-01,32.20
dig-23,Rubino,2023-10-01,2.45
dig-24,San Giovanni,2023-10-01,9.21
dig-25,Santa Rosalia,2023-10-01,15.76
dig-26,Scanzano,2023-10-01,6.24
dig-27,Sciaguana,2023-10-01,4.03
dig-28,Trinità,2023-10-01,2.88
dig-29,Zaffarana,2023-10-01,0.05
dig-01,Àncipa,2023-09-01,18.31
dig-02,Arancio,2023-09-01,17.24
dig-03,Castello,2023-09-01,12.29
dig-04,Cimia,2023-09-01,1.88
dig-05,Comunelli,2023-09-01,0.00
dig-06,Disueri,2023-09-01,0.00
dig-07,Fanaco,2023-09-01,8.91
dig-08,Furore,2023-09-01,2.58
dig-09,Garcia (M. Francese),2023-09-01,41.95
dig-10,Gorgo Lago,2023-09-01,0.84
dig-11,Lentini,2023-09-01,91.78
dig-12,Leone,2023-09-01,2.69
dig-13,Nicoletti,2023-09-01,1.85
dig-14,Ogliastro (Don Sturzo),2023-09-01,22.93
dig-15,Olivo,2023-09-01,4.27
dig-16,Paceco,2023-09-01,4.51
dig-17,Piana Degli Albanesi,2023-09-01,14.32
dig-18,Poma,2023-09-01,44.80
dig-19,Pozzillo,2023-09-01,4.30
dig-20,Prizzi,2023-09-01,4.80
dig-21,Ragoleto,2023-09-01,13.42
dig-22,Rosamarina,2023-09-01,37.16
dig-23,Rubino,2023-09-01,2.59
dig-24,San Giovanni,2023-09-01,9.47
dig-25,Santa Rosalia,2023-09-01,16.71
dig-26,Scanzano,2023-09-01,6.71
dig-27,Sciaguana,2023-09-01,4.14
dig-28,Trinità,2023-09-01,2.90
dig-29,Zaffarana,2023-09-01,0.07
dig-01,Àncipa,2023-08-01,20.49
dig-02,Arancio,2023-08-01,20.53
dig-03,Castello,2023-08-01,15.35
dig-04,Cimia,2023-08-01,2.47
dig-05,Comunelli,2023-08-01,0.00
dig-06,Disueri,2023-08-01,0.19
dig-07,Fanaco,2023-08-01,10.83
dig-08,Furore,2023-08-01,3.30
dig-09,Garcia (M. Francese),2023-08-01,49.89
dig-10,Gorgo Lago,2023-08-01,0.91
dig-11,Lentini,2023-08-01,95.60
dig-12,Leone,2023-08-01,3.10
dig-13,Nicoletti,2023-08-01,2.07
dig-14,Ogliastro (Don Sturzo),2023-08-01,24.75
dig-15,Olivo,2023-08-01,4.71
dig-16,Paceco,2023-08-01,5.07
dig-17,Piana Degli Albanesi,2023-08-01,16.02
dig-18,Poma,2023-08-01,49.81
dig-19,Pozzillo,2023-08-01,25.08
dig-20,Prizzi,2023-08-01,6.24
dig-21,Ragoleto,2023-08-01,15.05
dig-22,Rosamarina,2023-08-01,42.51
dig-23,Rubino,2023-08-01,3.54
dig-24,San Giovanni,2023-08-01,10.47
dig-25,Santa Rosalia,2023-08-01,17.85
dig-26,Scanzano,2023-08-01,7.08
dig-27,Sciaguana,2023-08-01,4.35
dig-28,Trinità,2023-08-01,3.91
dig-29,Zaffarana,2023-08-01,0.17
dig-01,Àncipa,2023-07-01,26.03
dig-02,Arancio,2023-07-01,21.58
dig-03,Castello,2023-07-01,18.92
