cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-09-13,950.00,30410000.00,939.65,16622047.15,14622047.15
dig-03,Castello,2025-09-13,292.65,19493500.00,277.05,4556000.00,963275.00
dig-07,Fanaco,2025-09-13,677.50,20700000.00,657.66,2764656.00,2178339.00
dig-09,Garcia (M. Francese),2025-09-13,190.00,61000000.00,173.04,9868000.00,3868000.00
dig-17,Piana Degli Albanesi,2025-09-13,609.00,25000000.00,601.09,7810427.44,5810427.44
dig-12,Leone,2025-09-13,828.00,4150000.00,825.44,2898000.00,1648000.00
dig-18,Poma,2025-09-13,195.60,72300000.00,178.89,19057500.00,10790312.00
dig-20,Prizzi,2025-09-13,638.00,9250000.00,627.10,1430177.90,0.00
dig-21,Ragoleto,2025-09-13,326.00,17160198.00,311.76,5564361.00,2064073.00
dig-22,Rosamarina,2025-09-13,164.00,73034250.00,143.65,18943225.00,9962711.00
dig-25,Santa Rosalia,2025-09-13,378.05,20000000.00,367.81,10117967.00,5037411.00
dig-26,Scanzano,2025-09-13,517.00,7312775.00,514.21,5064126.00,3990189.00
