cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-06-22,950.00,30410000.00,947.38,24804250.83,22804250.83
dig-03,Castello,2025-06-22,292.65,19493500.00,283.51,9272800.00,5607246.00
dig-07,Fanaco,2025-06-22,677.50,20700000.00,662.50,4966081.00,4379764.00
dig-09,Garcia (M. Francese),2025-06-22,190.00,61000000.00,177.64,19136000.00,13136000.00
dig-17,Piana Degli Albanesi,2025-06-22,609.00,25000000.00,602.90,11156193.53,9156193.53
dig-12,Leone,2025-06-22,828.00,4150000.00,826.33,3298500.00,2048500.00
dig-18,Poma,2025-06-22,195.60,72300000.00,182.27,26742500.00,18288080.00
dig-20,Prizzi,2025-06-22,638.00,9250000.00,632.90,4103274.64,2603274.64
dig-21,Ragoleto,2025-06-22,326.00,17160198.00,316.80,8958095.00,5457807.00
dig-22,Rosamarina,2025-06-22,164.00,73034250.00,145.98,22961169.00,13863965.00
dig-25,Santa Rosalia,2025-06-22,378.05,20000000.00,370.89,12708862.00,7537356.00
dig-26,Scanzano,2025-06-22,517.00,7312775.00,516.24,6640176.00,5532011.00
