cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-16,950.00,30410000.00,949.14,26688654.67,24688654.67
dig-03,Castello,2026-02-16,292.65,19493500.00,292.34,19050200.00,15502646.00
dig-07,Fanaco,2026-02-16,677.50,20700000.00,671.74,11878874.00,11292557.00
dig-17,Piana Degli Albanesi,2026-02-16,609.00,25000000.00,604.91,15262665.00,13262665.00
dig-12,Leone,2026-02-16,828.00,4150000.00,827.63,3972960.00,2722960.00
dig-18,Poma,2026-02-16,195.60,72300000.00,186.81,39430000.00,31368238.00
dig-20,Prizzi,2026-02-16,638.00,9250000.00,637.12,7062033.70,5712033.70
dig-21,Ragoleto,2026-02-16,326.00,17160198.00,319.96,11481159.00,7980871.00
dig-22,Rosamarina,2026-02-16,164.00,73034250.00,154.60,42242195.00,33348727.00
dig-25,Santa Rosalia,2026-02-16,378.05,20000000.00,378.64,21251501.00,16208486.00
dig-26,Scanzano,2026-02-16,517.00,7312775.00,519.45,9810181.00,8773084.00
dig-31,Gammauta,2026-02-16,500.00,2000000.00,498.71,1863662.00,362190.00
