cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-04-20,950.00,30410000.00,948.16,25639384.35,23639384.35
dig-03,Castello,2025-04-20,292.65,19493500.00,284.01,9712800.00,6133251.75
dig-07,Fanaco,2025-04-20,677.50,20700000.00,662.80,5131123.00,4544806.00
dig-09,Garcia (M. Francese),2025-04-20,190.00,61000000.00,177.90,19760000.00,13760000.00
dig-17,Piana Degli Albanesi,2025-04-20,609.00,25000000.00,603.41,11556235.45,9556235.45
dig-12,Leone,2025-04-20,828.00,4150000.00,826.64,3438000.00,2188000.00
dig-18,Poma,2025-04-20,195.60,72300000.00,183.44,29960000.00,21678831.75
dig-20,Prizzi,2025-04-20,638.00,9250000.00,633.23,4305489.19,2805489.19
dig-21,Ragoleto,2025-04-20,326.00,17160198.00,317.02,9122484.00,5599286.00
dig-22,Rosamarina,2025-04-20,164.00,73034250.00,145.90,22816520.56,13855627.48
dig-25,Santa Rosalia,2025-04-20,378.05,21080000.00,371.63,13391007.86,8322812.11
dig-26,Scanzano,2025-04-20,517.00,7312775.00,517.08,7385766.37,6334799.88
