cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-05-06,950.00,30410000.00,947.67,25114749.19,23114749.19
dig-03,Castello,2025-05-06,292.65,19493500.00,283.99,9695200.00,6148953.00
dig-07,Fanaco,2025-05-06,677.50,20700000.00,663.12,5310478.00,4724161.00
dig-09,Garcia (M. Francese),2025-05-06,190.00,61000000.00,177.78,19472000.00,13472000.00
dig-17,Piana Degli Albanesi,2025-05-06,609.00,25000000.00,603.38,11497858.59,9497858.59
dig-12,Leone,2025-05-06,828.00,4150000.00,826.48,3366000.00,2116000.00
dig-18,Poma,2025-05-06,195.60,72300000.00,183.24,29410000.00,21291807.00
dig-20,Prizzi,2025-05-06,638.00,9250000.00,633.27,4330388.09,2830388.09
dig-21,Ragoleto,2025-05-06,326.00,17160198.00,317.18,9246192.00,5745904.00
dig-22,Rosamarina,2025-05-06,164.00,73034250.00,145.92,22852640.00,13928808.00
dig-25,Santa Rosalia,2025-05-06,378.05,21080000.00,371.63,13391008.00,8372952.00
dig-26,Scanzano,2025-05-06,517.00,7312775.00,516.76,7096351.00,6057770.00
