cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-05-11,950.00,30410000.00,947.52,24954146.59,22954146.59
dig-03,Castello,2025-05-11,292.65,19493500.00,283.93,9642400.00,6096153.00
dig-07,Fanaco,2025-05-11,677.50,20700000.00,663.12,5310478.00,4724161.00
dig-09,Garcia (M. Francese),2025-05-11,190.00,61000000.00,177.77,19448000.00,13448000.00
dig-17,Piana Degli Albanesi,2025-05-11,609.00,25000000.00,603.25,11247339.98,9247339.98
dig-12,Leone,2025-05-11,828.00,4150000.00,826.47,3361500.00,2111500.00
dig-18,Poma,2025-05-11,195.60,72300000.00,183.16,29190000.00,21071807.00
dig-20,Prizzi,2025-05-11,638.00,9250000.00,633.20,4286871.67,2786871.67
dig-21,Ragoleto,2025-05-11,326.00,17160198.00,317.17,9238460.00,5738172.00
dig-22,Rosamarina,2025-05-11,164.00,73034250.00,145.85,22726347.00,13802515.00
dig-25,Santa Rosalia,2025-05-11,378.05,21080000.00,371.58,13343737.00,8325681.00
dig-26,Scanzano,2025-05-11,517.00,7312775.00,516.70,7042832.00,6004252.00
