cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-05-02,950.00,30410000.00,947.72,25168283.39,23168283.39
dig-03,Castello,2025-05-02,292.65,19493500.00,284.01,9712800.00,6166553.00
dig-07,Fanaco,2025-05-02,677.50,20700000.00,663.08,5287866.00,4701549.00
dig-09,Garcia (M. Francese),2025-05-02,190.00,61000000.00,177.81,19544000.00,13544000.00
dig-17,Piana Degli Albanesi,2025-05-02,609.00,25000000.00,603.40,11536750.50,9536750.50
dig-12,Leone,2025-05-02,828.00,4150000.00,826.51,3379500.00,2129500.00
dig-18,Poma,2025-05-02,195.60,72300000.00,183.30,29575000.00,21456807.00
dig-20,Prizzi,2025-05-02,638.00,9250000.00,633.29,4342869.94,2842869.94
dig-21,Ragoleto,2025-05-02,326.00,17160198.00,317.16,9230728.00,5730440.00
dig-22,Rosamarina,2025-05-02,164.00,73034250.00,145.93,22870710.00,13946878.00
dig-25,Santa Rosalia,2025-05-02,378.05,21080000.00,371.65,13409916.00,8391860.00
dig-26,Scanzano,2025-05-02,517.00,7312775.00,516.82,7150101.00,6111520.00
