cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-04-02,950.00,30410000.00,949.44,27009859.87,25009859.87
dig-03,Castello,2025-04-02,292.65,19493500.00,283.87,9589600.00,6057417.00
dig-07,Fanaco,2025-04-02,677.50,20700000.00,661.78,4583654.00,3997337.00
dig-09,Garcia (M. Francese),2025-04-02,190.00,61000000.00,177.77,19448000.00,13448000.00
dig-17,Piana Degli Albanesi,2025-04-02,609.00,25000000.00,603.20,11151749.53,9151749.53
dig-12,Leone,2025-04-02,828.00,4150000.00,826.83,3591000.00,2341000.00
dig-18,Poma,2025-04-02,195.60,72300000.00,183.17,29217500.00,21123777.00
dig-20,Prizzi,2025-04-02,638.00,9250000.00,632.92,4115370.86,2615370.86
dig-21,Ragoleto,2025-04-02,326.00,17160198.00,316.67,8861294.00,5361006.00
dig-22,Rosamarina,2025-04-02,164.00,73034250.00,145.22,21605462.00,12706281.00
dig-25,Santa Rosalia,2025-04-02,378.05,21080000.00,371.19,12982713.00,7972944.00
dig-26,Scanzano,2025-04-02,517.00,7312775.00,517.36,7644669.00,6613852.00
