cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-13,950.00,30410000.00,948.80,26324622.00,24324622.00
dig-03,Castello,2026-02-13,292.65,19493500.00,290.84,17082400.00,13547864.00
dig-07,Fanaco,2026-02-13,677.50,20700000.00,670.05,10271853.00,9685536.00
dig-17,Piana Degli Albanesi,2026-02-13,609.00,25000000.00,604.08,13307884.80,11307884.80
dig-12,Leone,2026-02-13,828.00,4150000.00,827.59,3949280.00,2699280.00
dig-18,Poma,2026-02-13,195.60,72300000.00,184.83,33782500.00,25741326.00
dig-20,Prizzi,2026-02-13,638.00,9250000.00,635.78,6054484.90,4704484.90
dig-21,Ragoleto,2026-02-13,326.00,17160198.00,319.96,11481159.00,7980871.00
dig-22,Rosamarina,2026-02-13,164.00,73034250.00,152.28,36245783.00,27360696.00
dig-25,Santa Rosalia,2026-02-13,378.05,20000000.00,378.65,21263751.00,16241556.00
dig-26,Scanzano,2026-02-13,517.00,7312775.00,518.40,8656674.00,7625028.00
dig-31,Gammauta,2026-02-13,500.00,2000000.00,498.68,1859901.00,358429.00
