cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-09-29,950.0,30410000.0,938.66,15640729.3,13640729.3
dig-03,Castello,2025-09-29,292.65,19493500.0,276.8,4416000.0,739050.0
dig-07,Fanaco,2025-09-29,677.5,20700000.0,657.18,2594251.0,2007934.0
dig-09,Garcia (M. Francese),2025-09-29,190.0,61000000.0,172.12,8656000.0,2656000.0
dig-17,Piana Degli Albanesi,2025-09-29,609.0,25000000.0,600.77,7403440.67,5403440.67
dig-12,Leone,2025-09-29,828.0,4150000.0,824.72,2588000.0,1338000.0
dig-18,Poma,2025-09-29,195.6,72300000.0,178.48,18340000.0,9805624.0
dig-20,Prizzi,2025-09-29,638.0,9250000.0,626.92,1371522.41,0.0
dig-21,Ragoleto,2025-09-29,326.0,17160198.0,310.7,4964146.0,1463858.0
dig-22,Rosamarina,2025-09-29,164.0,73034250.0,143.25,18293792.0,9201089.0
dig-25,Santa Rosalia,2025-09-29,378.05,20000000.0,367.42,9816065.0,4635509.0
dig-26,Scanzano,2025-09-29,517.0,7312775.0,513.88,4833454.0,3706321.0
