cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-11,950.00,30410000.00,948.55,26056951.00,24056951.00
dig-03,Castello,2026-02-11,292.65,19493500.00,289.49,15271200.00,11736664.00
dig-07,Fanaco,2026-02-11,677.50,20700000.00,668.79,9356865.00,8770548.00
dig-09,Garcia (M. Francese),2026-02-11,190.00,61000000.00,177.81,19544000.00,13544000.00
dig-17,Piana Degli Albanesi,2026-02-11,609.00,25000000.00,603.44,12128010.00,10128010.00
dig-12,Leone,2026-02-11,828.00,4150000.00,827.54,3919680.00,2669680.00
dig-18,Poma,2026-02-11,195.60,72300000.00,183.81,30977500.00,22936326.00
dig-20,Prizzi,2026-02-11,638.00,9250000.00,634.76,5315735.90,3965735.90
dig-21,Ragoleto,2026-02-11,326.00,17160198.00,319.43,11039926.00,7539638.00
dig-22,Rosamarina,2026-02-11,164.00,73034250.00,150.54,32155341.00,23270254.00
dig-25,Santa Rosalia,2026-02-11,378.05,20000000.00,378.44,20999969.00,15977773.00
dig-26,Scanzano,2026-02-11,517.00,7312775.00,517.60,7870958.00,6839312.00
dig-31,Gammauta,2026-02-11,500.00,2000000.00,497.02,1662084.00,160612.00
