cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-27,950.0,30410000.0,948.38,25874934.8,23874934.8
dig-03,Castello,2026-02-27,292.65,19493500.0,292.63,19464900.0,15904328.0
dig-07,Fanaco,2026-02-27,677.5,20700000.0,673.4,13566173.0,12979856.0
dig-17,Piana Degli Albanesi,2026-02-27,609.0,25000000.0,605.53,16642550.0,14642550.0
dig-12,Leone,2026-02-27,828.0,4150000.0,827.43,3854560.0,2604560.0
dig-18,Poma,2026-02-27,195.6,72300000.0,188.32,43992000.0,35909651.0
dig-20,Prizzi,2026-02-27,638.0,9250000.0,638.07,7727518.6,6377518.6
dig-21,Ragoleto,2026-02-27,326.0,17160198.0,321.54,12856619.0,9356331.0
dig-22,Rosamarina,2026-02-27,164.0,73034250.0,156.6,47906286.0,39004437.0
dig-25,Santa Rosalia,2026-02-27,378.05,20000000.0,378.58,21178001.0,16114166.0
dig-26,Scanzano,2026-02-27,517.0,7312775.0,518.62,8890901.0,7848352.0
dig-31,Gammauta,2026-02-27,500.0,2000000.0,499.45,1957237.0,455765.0
