cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-01-24,950.00,30410000.00,940.25,17230596.28,15230596.28
dig-03,Castello,2026-01-24,292.65,19493500.00,282.74,8613600.00,5080598.00
dig-07,Fanaco,2026-01-24,677.50,20700000.00,660.66,4030536.00,3444219.00
dig-09,Garcia (M. Francese),2026-01-24,190.00,61000000.00,171.50,7836000.00,1836000.00
dig-17,Piana Degli Albanesi,2026-01-24,609.00,25000000.00,600.68,7573107.00,5573107.00
dig-12,Leone,2026-01-24,828.00,4150000.00,826.91,3559500.00,2309500.00
dig-18,Poma,2026-01-24,195.60,72300000.00,177.49,16607500.00,8541896.00
dig-20,Prizzi,2026-01-24,638.00,9250000.00,630.08,2604085.00,1254085.00
dig-21,Ragoleto,2026-01-24,326.00,17160198.00,315.72,8162237.00,4661949.00
dig-22,Rosamarina,2026-01-24,164.00,73034250.00,142.61,17274115.00,8367343.00
dig-25,Santa Rosalia,2026-01-24,378.05,20000000.00,372.42,14148710.00,9134404.00
dig-26,Scanzano,2026-01-24,517.00,7312775.00,513.06,4280419.00,3248180.00
dig-31,Gammauta,2026-01-24,500.00,2000000.00,495.85,1565248.00,63776.00
