cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-01-08,950.00,30410000.00,934.52,11929438.58,9929438.58
dig-03,Castello,2026-01-08,292.65,19493500.00,279.83,6316900.00,2766095.00
dig-07,Fanaco,2026-01-08,677.50,20700000.00,657.29,2632732.00,2046415.00
dig-09,Garcia (M. Francese),2026-01-08,190.00,61000000.00,170.14,6168000.00,168000.00
dig-17,Piana Degli Albanesi,2026-01-08,609.00,25000000.00,599.20,5637512.84,3637512.84
dig-12,Leone,2026-01-08,828.00,4150000.00,824.11,2344000.00,1094000.00
dig-18,Poma,2026-01-08,195.60,72300000.00,176.39,14682500.00,6428888.00
dig-20,Prizzi,2026-01-08,638.00,9250000.00,627.21,1466637.00,116637.00
dig-21,Ragoleto,2026-01-08,326.00,17160198.00,310.86,5050697.00,1550409.00
dig-22,Rosamarina,2026-01-08,164.00,73034250.00,140.83,14591622.00,5605774.00
dig-25,Santa Rosalia,2026-01-08,378.05,20000000.00,366.77,9329371.00,4289391.00
dig-26,Scanzano,2026-01-08,517.00,7312775.00,511.25,3179475.00,2139998.00
dig-31,Gammauta,2026-01-08,500.00,2000000.00,495.77,1560427.00,58955.00
