cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-07-26,950.00,30410000.00,945.50,22791364.90,20791364.90
dig-03,Castello,2025-07-26,292.65,19493500.00,279.71,6241300.00,2474699.00
dig-07,Fanaco,2025-07-26,677.50,20700000.00,660.80,4097561.00,3511244.00
dig-09,Garcia (M. Francese),2025-07-26,190.00,61000000.00,176.74,17002000.00,11002000.00
dig-17,Piana Degli Albanesi,2025-07-26,609.00,25000000.00,602.10,9830977.52,7830977.52
dig-12,Leone,2025-07-26,828.00,4150000.00,826.09,3190500.00,1940500.00
dig-18,Poma,2025-07-26,195.60,72300000.00,180.90,23250000.00,14357769.00
dig-20,Prizzi,2025-07-26,638.00,9250000.00,631.82,3480449.45,1980449.45
dig-21,Ragoleto,2025-07-26,326.00,17160198.00,314.99,7627023.00,4126735.00
dig-22,Rosamarina,2025-07-26,164.00,73034250.00,145.05,21308059.00,12103848.00
dig-25,Santa Rosalia,2025-07-26,378.05,20000000.00,369.81,11754559.00,6387340.00
dig-26,Scanzano,2025-07-26,517.00,7312775.00,515.38,5921509.00,4679138.00
