cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-05-01,950.00,30410000.00,947.74,25189697.07,23189697.07
dig-03,Castello,2025-05-01,292.65,19493500.00,284.02,9721600.00,6175353.00
dig-07,Fanaco,2025-05-01,677.50,20700000.00,663.06,5276594.00,4690277.00
dig-09,Garcia (M. Francese),2025-05-01,190.00,61000000.00,177.83,19592000.00,13592000.00
dig-17,Piana Degli Albanesi,2025-05-01,609.00,25000000.00,603.27,11285675.34,9285675.34
dig-12,Leone,2025-05-01,828.00,4150000.00,826.52,3384000.00,2084000.00
dig-18,Poma,2025-05-01,195.60,72300000.00,183.33,29657500.00,21539306.50
dig-20,Prizzi,2025-05-01,638.00,9250000.00,633.29,4342869.94,2842869.94
dig-21,Ragoleto,2025-05-01,326.00,17160198.00,317.15,9230728.00,5730440.00
dig-22,Rosamarina,2025-05-01,164.00,73034250.00,145.94,22888787.45,13964955.44
dig-25,Santa Rosalia,2025-05-01,378.05,21080000.00,371.65,13409916.30,8391860.30
dig-26,Scanzano,2025-05-01,517.00,7312775.00,516.83,7159081.43,6120500.75
