cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-05-14,950.00,30410000.00,947.44,24868491.87,22868491.87
dig-03,Castello,2025-05-14,292.65,19493500.00,283.91,9624800.00,6040806.00
dig-07,Fanaco,2025-05-14,677.50,20700000.00,663.14,5322158.00,4735841.00
dig-09,Garcia (M. Francese),2025-05-14,190.00,61000000.00,177.69,19256000.00,13256000.00
dig-17,Piana Degli Albanesi,2025-05-14,609.00,25000000.00,603.32,11381791.30,9381791.30
dig-12,Leone,2025-05-14,828.00,4150000.00,826.43,3343500.00,2093500.00
dig-18,Poma,2025-05-14,195.60,72300000.00,183.11,29052500.00,20816113.00
dig-20,Prizzi,2025-05-14,638.00,9250000.00,633.03,4182254.81,2682254.81
dig-21,Ragoleto,2025-05-14,326.00,17160198.00,317.18,9246192.00,5745904.00
dig-22,Rosamarina,2025-05-14,164.00,73034250.00,145.84,22708333.00,13728994.00
dig-25,Santa Rosalia,2025-05-14,378.05,21080000.00,371.54,13305920.00,8250364.00
dig-26,Scanzano,2025-05-14,517.00,7312775.00,516.65,6998411.00,5941991.00
