cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-08-24,950.00,30410000.00,940.78,17776089.70,15776089.70
dig-03,Castello,2025-08-24,292.65,19493500.00,277.39,4755900.00,1089910.00
dig-07,Fanaco,2025-08-24,677.50,20700000.00,658.62,3133406.00,2547089.00
dig-09,Garcia (M. Francese),2025-08-24,190.00,61000000.00,174.87,12805000.00,6805000.00
dig-17,Piana Degli Albanesi,2025-08-24,609.00,25000000.00,601.56,8523266.68,6523266.68
dig-12,Leone,2025-08-24,828.00,4150000.00,825.96,3132000.00,1882000.00
dig-18,Poma,2025-08-24,195.60,72300000.00,179.62,20335000.00,11845430.00
dig-20,Prizzi,2025-08-24,638.00,9250000.00,628.33,1865938.90,365938.90
dig-21,Ragoleto,2025-08-24,326.00,17160198.00,313.11,6385771.00,2885484.00
dig-22,Rosamarina,2025-08-24,164.00,73034250.00,144.27,19972339.00,10884163.00
dig-25,Santa Rosalia,2025-08-24,378.05,20000000.00,368.56,10709439.00,5541383.00
dig-26,Scanzano,2025-08-24,517.00,7312775.00,514.73,5437172.00,4320326.00
