cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-10-11,950.0,30410000.0,938.03,15032810.3,13032810.3
dig-03,Castello,2025-10-11,292.65,19493500.0,276.72,4371200.0,832702.0
dig-07,Fanaco,2025-10-11,677.5,20700000.0,656.85,2480625.0,1894308.0
dig-09,Garcia (M. Francese),2025-10-11,190.0,61000000.0,171.46,7798000.0,1798000.0
dig-17,Piana Degli Albanesi,2025-10-11,609.0,25000000.0,600.52,7120600.49,5120600.49
dig-12,Leone,2025-10-11,828.0,4150000.0,824.2,2380000.0,1130000.0
dig-18,Poma,2025-10-11,195.6,72300000.0,177.9,17325000.0,9237753.0
dig-20,Prizzi,2025-10-11,638.0,9250000.0,626.81,1336318.33,0.0
dig-21,Ragoleto,2025-10-11,326.0,17160198.0,310.45,4828911.0,1328623.0
dig-22,Rosamarina,2025-10-11,164.0,73034250.0,142.81,17587556.0,8681803.0
dig-25,Santa Rosalia,2025-10-11,378.05,20000000.0,367.04,9529290.0,4516234.0
dig-26,Scanzano,2025-10-11,517.0,7312775.0,513.47,4552967.0,3512344.0
