cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-01,950.00,30410000.00,945.18,22448746.00,20448746.00
dig-03,Castello,2026-02-01,292.65,19493500.00,286.65,12207500.00,8646928.00
dig-07,Fanaco,2026-02-01,677.50,20700000.00,665.70,6901219.00,6314902.00
dig-09,Garcia (M. Francese),2026-02-01,190.00,61000000.00,175.30,13690000.00,7690000.00
dig-17,Piana Degli Albanesi,2026-02-01,609.00,25000000.00,602.33,10257353.00,8257353.00
dig-12,Leone,2026-02-01,828.00,4150000.00,827.65,3984800.00,2734800.00
dig-18,Poma,2026-02-01,195.60,72300000.00,181.18,23950000.00,15867651.00
dig-20,Prizzi,2026-02-01,638.00,9250000.00,632.96,4139622.00,2789622.00
dig-21,Ragoleto,2026-02-01,326.00,17160198.00,316.95,9069789.00,5569501.00
dig-22,Rosamarina,2026-02-01,164.00,73034250.00,146.86,24594227.00,15692378.00
dig-25,Santa Rosalia,2026-02-01,378.05,20000000.00,375.62,17532070.00,12468235.00
dig-26,Scanzano,2026-02-01,517.00,7312775.00,516.67,7016160.00,5973611.00
dig-31,Gammauta,2026-02-01,500.00,2000000.00,499.03,1903702.00,402230.00
