cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-06-02,950.00,30410000.00,947.84,25296765.47,23296765.47
dig-03,Castello,2025-06-02,292.65,19493500.00,283.81,9536800.00,5975949.00
dig-07,Fanaco,2025-06-02,677.50,20700000.00,663.13,5316207.00,4729890.00
dig-09,Garcia (M. Francese),2025-06-02,190.00,61000000.00,178.08,20208000.00,14208000.00
dig-17,Piana Degli Albanesi,2025-06-02,609.00,25000000.00,603.23,11597651.16,9597651.16
dig-12,Leone,2025-06-02,828.00,4150000.00,826.37,3316500.00,2066500.00
dig-18,Poma,2025-06-02,195.60,72300000.00,182.86,28365000.00,20213527.00
dig-20,Prizzi,2025-06-02,638.00,9250000.00,633.03,4182254.81,2682254.81
dig-21,Ragoleto,2025-06-02,326.00,17160198.00,317.21,9269387.00,5769099.00
dig-22,Rosamarina,2025-06-02,164.00,73034250.00,146.32,23584876.00,14640259.00
dig-25,Santa Rosalia,2025-06-02,378.05,20000000.00,371.34,13120805.00,8076599.00
dig-26,Scanzano,2025-06-02,517.00,7312775.00,516.66,7007282.00,5957399.00
