cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-08-07,950.00,30410000.00,944.23,21431632.52,19431632.52
dig-03,Castello,2025-08-07,292.65,19493500.00,279.25,5951500.00,2390503.00
dig-07,Fanaco,2025-08-07,677.50,20700000.00,659.96,3704738.00,3118421.00
dig-09,Garcia (M. Francese),2025-08-07,190.00,61000000.00,175.70,14610000.00,8610000.00
dig-17,Piana Degli Albanesi,2025-08-07,609.00,25000000.00,601.94,9262023.25,7262023.25
dig-12,Leone,2025-08-07,828.00,4150000.00,826.02,3159000.00,1909000.00
dig-18,Poma,2025-08-07,195.60,72300000.00,180.25,21625000.00,13461810.00
dig-20,Prizzi,2025-08-07,638.00,9250000.00,631.09,3094842.25,1594842.25
dig-21,Ragoleto,2025-08-07,326.00,17160198.00,314.12,7045544.00,3545256.00
dig-22,Rosamarina,2025-08-07,164.00,73034250.00,144.76,20802469.00,11860861.00
dig-25,Santa Rosalia,2025-08-07,378.05,20000000.00,369.30,11320259.00,6277203.00
dig-26,Scanzano,2025-08-07,517.00,7312775.00,515.04,5666013.00,4613237.00
