cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-05-23,950.00,30410000.00,948.05,25521609.11,23521609.11
dig-03,Castello,2025-05-23,292.65,19493500.00,283.92,9633600.00,6011859.00
dig-07,Fanaco,2025-05-23,677.50,20700000.00,663.20,5355840.00,4769523.00
dig-09,Garcia (M. Francese),2025-05-23,190.00,61000000.00,178.15,20390000.00,14390000.00
dig-17,Piana Degli Albanesi,2025-05-23,609.00,25000000.00,603.22,11760931.22,9760931.22
dig-12,Leone,2025-05-23,828.00,4150000.00,826.43,3343500.00,2093500.00
dig-18,Poma,2025-05-23,195.60,72300000.00,183.06,28915000.00,20560420.00
dig-20,Prizzi,2025-05-23,638.00,9250000.00,633.07,4206731.69,2706731.69
dig-21,Ragoleto,2025-05-23,326.00,17160198.00,317.22,9277119.00,5776831.00
dig-22,Rosamarina,2025-05-23,164.00,73034250.00,146.43,23788574.00,14753728.00
dig-25,Santa Rosalia,2025-05-23,378.05,20000000.00,371.43,13203660.00,8110604.00
dig-26,Scanzano,2025-05-23,517.00,7312775.00,516.80,7132158.00,6057900.00
