cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-08-04,950.00,30410000.00,945.00,22256022.90,20256022.90
dig-03,Castello,2025-08-04,292.65,19493500.00,279.39,6039700.00,2478703.00
dig-07,Fanaco,2025-08-04,677.50,20700000.00,660.16,3796091.00,3209774.00
dig-09,Garcia (M. Francese),2025-08-04,190.00,61000000.00,175.93,15139000.00,9139000.00
dig-17,Piana Degli Albanesi,2025-08-04,609.00,25000000.00,602.03,9413593.59,7413593.59
dig-12,Leone,2025-08-04,828.00,4150000.00,826.04,3168000.00,1918000.00
dig-18,Poma,2025-08-04,195.60,72300000.00,180.56,22400000.00,14236810.00
dig-20,Prizzi,2025-08-04,638.00,9250000.00,631.54,3328973.60,1828973.60
dig-21,Ragoleto,2025-08-04,326.00,17160198.00,314.27,7148158.00,3647870.00
dig-22,Rosamarina,2025-08-04,164.00,73034250.00,144.81,20891944.00,11950336.00
dig-25,Santa Rosalia,2025-08-04,378.05,20000000.00,369.43,11429285.00,6386229.00
dig-26,Scanzano,2025-08-04,517.00,7312775.00,515.13,5732960.00,4680184.00
