cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-04-10,950.00,30410000.00,948.97,26506638.40,24506638.40
dig-03,Castello,2025-04-10,292.65,19493500.00,284.00,9704000.00,6148134.50
dig-07,Fanaco,2025-04-10,677.50,20700000.00,662.40,4911595.00,4325278.00
dig-09,Garcia (M. Francese),2025-04-10,190.00,61000000.00,177.91,19784000.00,13784000.00
dig-17,Piana Degli Albanesi,2025-04-10,609.00,25000000.00,603.45,11634414.84,9634414.84
dig-12,Leone,2025-04-10,828.00,4150000.00,826.83,3523500.00,2273500.00
dig-18,Poma,2025-04-10,195.60,72300000.00,183.49,30097500.00,21910054.50
dig-20,Prizzi,2025-04-10,638.00,9250000.00,633.10,4225147.24,2725147.24
dig-21,Ragoleto,2025-04-10,326.00,17160198.00,316.86,9002773.00,5502485.00
dig-22,Rosamarina,2025-04-10,164.00,73034250.00,145.74,22528581.60,13598544.55
dig-25,Santa Rosalia,2025-04-10,378.05,21080000.00,371.50,13268103.00,8229120.50
dig-26,Scanzano,2025-04-10,517.00,7312775.00,517.31,7598039.96,6557148.30
