cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-09-28,950.00,30410000.00,938.72,15699345.00,13699345.00
dig-03,Castello,2025-09-28,292.65,19493500.00,276.80,4416000.00,739050.00
dig-07,Fanaco,2025-09-28,677.50,20700000.00,657.24,2615203.00,2028886.00
dig-09,Garcia (M. Francese),2025-09-28,190.00,61000000.00,172.12,8656000.00,2656000.00
dig-17,Piana Degli Albanesi,2025-09-28,609.00,25000000.00,600.78,7415079.00,5415079.00
dig-12,Leone,2025-09-28,828.00,4150000.00,824.77,2608000.00,1358000.00
dig-18,Poma,2025-09-28,195.60,72300000.00,178.48,18340000.00,9805624.00
dig-20,Prizzi,2025-09-28,638.00,9250000.00,626.94,1377975.40,0.00
dig-21,Ragoleto,2025-09-28,326.00,17160198.00,310.82,5029059.00,1528771.00
dig-22,Rosamarina,2025-09-28,164.00,73034250.00,143.25,18293792.00,9201089.00
dig-25,Santa Rosalia,2025-09-28,378.05,20000000.00,367.42,9816065.00,4635509.00
dig-26,Scanzano,2025-09-28,517.00,7312775.00,513.88,4833454.00,3706321.00
