cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-02-03,950.00,30410000.00,942.82,19924834.78,17924834.78
dig-03,Castello,2025-02-03,292.65,19493500.00,279.42,6058600.00,2540309.00
dig-07,Fanaco,2025-02-03,677.50,20700000.00,655.80,2140297.00,1553980.00
dig-09,Garcia (M. Francese),2025-02-03,190.00,61000000.00,174.80,12700000.00,6700000.00
dig-17,Piana Degli Albanesi,2025-02-03,609.00,25000000.00,600.96,7323342.81,5323342.81
dig-12,Leone,2025-02-03,828.00,4150000.00,824.36,2444000.00,1194000.00
dig-18,Poma,2025-02-03,195.60,72300000.00,179.57,20247500.00,12226913.00
dig-20,Prizzi,2025-02-03,638.00,9250000.00,629.82,2485541.35,985541.35
dig-21,Ragoleto,2025-02-03,326.00,17160198.00,311.66,5506738.00,2006450.00
dig-22,Rosamarina,2025-02-03,164.00,73034250.00,140.74,14462346.00,5585641.00
dig-25,Santa Rosalia,2025-02-03,378.05,21080000.00,364.67,7842725.00,2850254.00
dig-26,Scanzano,2025-02-03,517.00,7312775.00,515.26,5830672.00,4807887.00
dig-14,Ogliastro (Don Sturzo),2025-02-03,,,,,
