cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-09-18,950.00,30410000.00,939.34,16311688.60,14311688.60
dig-03,Castello,2025-09-18,292.65,19493500.00,276.92,4483200.00,848362.00
dig-07,Fanaco,2025-09-18,677.50,20700000.00,657.60,2742961.00,2156644.00
dig-09,Garcia (M. Francese),2025-09-18,190.00,61000000.00,172.58,9254000.00,3254000.00
dig-17,Piana Degli Albanesi,2025-09-18,609.00,25000000.00,600.96,7640405.80,5640405.80
dig-12,Leone,2025-09-18,828.00,4150000.00,825.25,2812500.00,1562500.00
dig-18,Poma,2025-09-18,195.60,72300000.00,178.68,18690000.00,10289218.00
dig-20,Prizzi,2025-09-18,638.00,9250000.00,627.04,1410482.60,0.00
dig-21,Ragoleto,2025-09-18,326.00,17160198.00,311.40,5357919.00,1856631.00
dig-22,Rosamarina,2025-09-18,164.00,73034250.00,143.47,18649703.00,9613094.00
dig-25,Santa Rosalia,2025-09-18,378.05,20000000.00,367.63,9977725.00,4847169.00
dig-26,Scanzano,2025-09-18,517.00,7312775.00,514.08,4972706.00,3872170.00
