cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-10-20,950.00,30410000.00,937.51,14542615.73,12542615.73
dig-03,Castello,2025-10-20,292.65,19493500.00,276.83,4432800.00,834306.00
dig-07,Fanaco,2025-10-20,677.50,20700000.00,656.68,2423155.00,1836838.00
dig-09,Garcia (M. Francese),2025-10-20,190.00,61000000.00,171.20,7460000.00,1460000.00
dig-17,Piana Degli Albanesi,2025-10-20,609.00,25000000.00,600.36,6909293.00,4909293.00
dig-12,Leone,2025-10-20,828.00,4150000.00,823.72,2188000.00,938000.00
dig-18,Poma,2025-10-20,195.60,72300000.00,177.66,16905000.00,8643258.00
dig-20,Prizzi,2025-10-20,638.00,9250000.00,626.84,1345871.40,0.00
dig-21,Ragoleto,2025-10-20,326.00,17160198.00,310.43,4818092.00,1317804.00
dig-22,Rosamarina,2025-10-20,164.00,73034250.00,142.60,17258504.00,8277895.00
dig-25,Santa Rosalia,2025-10-20,378.05,20000000.00,366.90,9425306.00,4347250.00
dig-26,Scanzano,2025-10-20,517.00,7312775.00,513.27,4419058.00,3338671.00
