cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-04-12,950.00,30410000.00,948.93,26463811.03,24463811.03
dig-03,Castello,2025-04-12,292.65,19493500.00,283.99,9695200.00,6115652.00
dig-07,Fanaco,2025-04-12,677.50,20700000.00,662.52,4976909.00,4390592.00
dig-09,Garcia (M. Francese),2025-04-12,190.00,61000000.00,177.91,19784000.00,13784000.00
dig-17,Piana Degli Albanesi,2025-04-12,609.00,25000000.00,603.46,11654016.74,9654016.74
dig-12,Leone,2025-04-12,828.00,4150000.00,826.79,3505500.00,2255500.00
dig-18,Poma,2025-04-12,195.60,72300000.00,183.48,30070000.00,21788832.00
dig-20,Prizzi,2025-04-12,638.00,9250000.00,633.13,4243611.23,2743611.23
dig-21,Ragoleto,2025-04-12,326.00,17160198.00,316.93,9054896.00,5554608.00
dig-22,Rosamarina,2025-04-12,164.00,73034250.00,145.78,22600398.00,13639505.00
dig-25,Santa Rosalia,2025-04-12,378.05,21080000.00,371.54,13305920.00,8237724.00
dig-26,Scanzano,2025-04-12,517.00,7312775.00,517.28,7570146.00,6519180.00
