cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-03-22,950.00,30410000.00,948.22,25703625.39,23703625.39
dig-03,Castello,2025-03-22,292.65,19493500.00,283.75,9484000.00,5923890.25
dig-07,Fanaco,2025-03-22,677.50,20700000.00,661.00,4194343.00,3608026.00
dig-09,Garcia (M. Francese),2025-03-22,190.00,61000000.00,177.24,18176000.00,12176000.00
dig-17,Piana Degli Albanesi,2025-03-22,609.00,25000000.00,602.18,9271706.70,7271706.70
dig-12,Leone,2025-03-22,828.00,4150000.00,826.61,3424500.00,2174500.00
dig-18,Poma,2025-03-22,195.60,72300000.00,182.10,26275000.00,18118081.57
dig-20,Prizzi,2025-03-22,638.00,9250000.00,632.18,3681379.79,2181379.79
dig-21,Ragoleto,2025-03-22,326.00,17160198.00,316.22,8526213.00,5025925.00
dig-22,Rosamarina,2025-03-22,164.00,73034250.00,143.78,19156467.01,10214096.97
dig-25,Santa Rosalia,2025-03-22,378.05,21080000.00,370.70,12537974.00,7493668.00
dig-26,Scanzano,2025-03-22,517.00,7312775.00,516.11,6528873.93,5489118.47
