cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-07-15,950.00,30410000.00,946.09,23423068.47,21423068.47
dig-03,Castello,2025-07-15,292.65,19493500.00,280.91,7103800.00,3440439.00
dig-07,Fanaco,2025-07-15,677.50,20700000.00,661.41,4396574.00,3810257.00
dig-09,Garcia (M. Francese),2025-07-15,190.00,61000000.00,177.05,17720000.00,11720000.00
dig-17,Piana Degli Albanesi,2025-07-15,609.00,25000000.00,602.59,10285112.59,8285112.59
dig-12,Leone,2025-07-15,828.00,4150000.00,826.17,3226500.00,1976500.00
dig-18,Poma,2025-07-15,195.60,72300000.00,181.40,24500000.00,15964662.00
dig-20,Prizzi,2025-07-15,638.00,9250000.00,631.99,3574510.03,2074510.03
dig-21,Ragoleto,2025-07-15,326.00,17160198.00,315.53,8026416.00,4526128.00
dig-22,Rosamarina,2025-07-15,164.00,73034250.00,145.36,21852060.00,12782203.00
dig-25,Santa Rosalia,2025-07-15,378.05,20000000.00,370.23,12120409.00,6907855.00
dig-26,Scanzano,2025-07-15,517.00,7312775.00,515.69,6160309.00,5006590.00
