cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-09-20,950.00,30410000.00,939.19,16162484.40,14162484.40
dig-03,Castello,2025-09-20,292.65,19493500.00,276.87,4455200.00,820362.00
dig-07,Fanaco,2025-09-20,677.50,20700000.00,657.55,2724481.00,2138164.00
dig-09,Garcia (M. Francese),2025-09-20,190.00,61000000.00,172.27,8851000.00,2851000.00
dig-17,Piana Degli Albanesi,2025-09-20,609.00,25000000.00,600.93,7602556.00,5602556.00
dig-12,Leone,2025-09-20,828.00,4150000.00,825.18,2771000.00,1521000.00
dig-18,Poma,2025-09-20,195.60,72300000.00,178.60,18550000.00,10149218.00
dig-20,Prizzi,2025-09-20,638.00,9250000.00,627.01,1400688.70,0.00
dig-21,Ragoleto,2025-09-20,326.00,17160198.00,311.40,5357919.00,1856631.00
dig-22,Rosamarina,2025-09-20,164.00,73034250.00,143.39,18519908.00,9483299.00
dig-25,Santa Rosalia,2025-09-20,378.05,20000000.00,367.57,9930978.00,4800422.00
dig-26,Scanzano,2025-09-20,517.00,7312775.00,514.03,4937732.00,3837197.00
