cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-06-10,950.00,30410000.00,947.57,25007680.79,23007680.79
dig-03,Castello,2025-06-10,292.65,19493500.00,283.70,9440000.00,5826797.50
dig-07,Fanaco,2025-06-10,677.50,20700000.00,662.91,5192401.00,4606084.00
dig-09,Garcia (M. Francese),2025-06-10,190.00,61000000.00,177.89,19736000.00,13736000.00
dig-17,Piana Degli Albanesi,2025-06-10,609.00,25000000.00,603.14,11325590.50,9325590.50
dig-12,Leone,2025-06-10,828.00,4150000.00,826.32,3294000.00,2044000.00
dig-18,Poma,2025-06-10,195.60,72300000.00,182.66,27815000.00,19512053.50
dig-20,Prizzi,2025-06-10,638.00,9250000.00,632.97,4145697.72,2645697.72
dig-21,Ragoleto,2025-06-10,326.00,17160198.00,317.07,9161142.00,5660854.00
dig-22,Rosamarina,2025-06-10,164.00,73034250.00,146.21,23382368.36,14361457.71
dig-25,Santa Rosalia,2025-06-10,378.05,20000000.00,371.17,12964301.04,7856445.04
dig-26,Scanzano,2025-06-10,517.00,7312775.00,516.53,6892455.08,5813431.07
