cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-05,950.00,30410000.00,948.50,26003416.90,24003416.90
dig-03,Castello,2026-02-05,292.65,19493500.00,287.92,13478800.00,9957282.00
dig-07,Fanaco,2026-02-05,677.50,20700000.00,667.26,8006317.00,7420000.00
dig-09,Garcia (M. Francese),2026-02-05,190.00,61000000.00,176.64,16772000.00,10772000.00
dig-17,Piana Degli Albanesi,2026-02-05,609.00,25000000.00,602.84,11148837.50,9148837.50
dig-12,Leone,2026-02-05,828.00,4150000.00,827.57,3937440.00,2687440.00
dig-18,Poma,2026-02-05,195.60,72300000.00,182.67,27842500.00,19821913.00
dig-20,Prizzi,2026-02-05,638.00,9250000.00,633.69,4596886.60,3246886.60
dig-21,Ragoleto,2026-02-05,326.00,17160198.00,318.57,10337193.00,6836905.00
dig-22,Rosamarina,2026-02-05,164.00,73034250.00,149.26,29373206.00,20496501.00
dig-25,Santa Rosalia,2026-02-05,378.05,20000000.00,376.85,18989858.00,13988482.00
dig-26,Scanzano,2026-02-05,517.00,7312775.00,517.26,7551585.00,6525391.00
dig-31,Gammauta,2026-02-05,500.00,2000000.00,498.22,1801917.00,300445.00
