cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-11-15,950.0,30410000.0,936.09,13258377.65,11258377.65
dig-03,Castello,2025-11-15,292.65,19493500.0,277.53,4841300.0,1272804.0
dig-07,Fanaco,2025-11-15,677.5,20700000.0,656.22,2271588.0,1685271.0
dig-09,Garcia (M. Francese),2025-11-15,190.0,61000000.0,170.29,6348000.0,348000.0
dig-17,Piana Degli Albanesi,2025-11-15,609.0,25000000.0,599.91,6380718.19,4380718.19
dig-12,Leone,2025-11-15,828.0,4150000.0,822.37,1711000.0,461000.0
dig-18,Poma,2025-11-15,195.6,72300000.0,176.98,15715000.0,7540506.0
dig-20,Prizzi,2025-11-15,638.0,9250000.0,626.71,1304702.81,0.0
dig-21,Ragoleto,2025-11-15,326.0,17160198.0,310.49,4828911.0,1328623.0
dig-22,Rosamarina,2025-11-15,164.0,73034250.0,142.1,16485505.0,7542324.0
dig-25,Santa Rosalia,2025-11-15,378.05,20000000.0,366.59,9196537.0,4150981.0
dig-26,Scanzano,2025-11-15,517.0,7312775.0,512.51,3926989.0,2866484.0
dig-31,Gammauta,2025-11-15,500.0,2000000.0,498.03,1778538.93,277066.93
