cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2026-02-26,950.00,30410000.00,948.25,25735745.90,23735745.90
dig-03,Castello,2026-02-26,292.65,19493500.00,292.63,19464900.00,15904328.00
dig-07,Fanaco,2026-02-26,677.50,20700000.00,673.40,13566173.00,12979856.00
dig-17,Piana Degli Albanesi,2026-02-26,609.00,25000000.00,605.50,16566776.00,14566776.00
dig-12,Leone,2026-02-26,828.00,4150000.00,827.43,3854560.00,2604560.00
dig-18,Poma,2026-02-26,195.60,72300000.00,188.32,43992000.00,35909651.00
dig-20,Prizzi,2026-02-26,638.00,9250000.00,638.07,7727518.60,6377518.60
dig-21,Ragoleto,2026-02-26,326.00,17160198.00,321.54,12856619.00,9356331.00
dig-22,Rosamarina,2026-02-26,164.00,73034250.00,156.60,47906286.00,39004437.00
dig-25,Santa Rosalia,2026-02-26,378.05,20000000.00,378.58,21178001.00,16114166.00
dig-26,Scanzano,2026-02-26,517.00,7312775.00,518.62,8890901.00,7848352.00
dig-31,Gammauta,2026-02-26,500.00,2000000.00,499.62,1979221.00,477749.00
