cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-07-13,950.00,30410000.00,946.20,23540843.71,21540843.71
dig-03,Castello,2025-07-13,292.65,19493500.00,281.22,7346600.00,3734860.00
dig-07,Fanaco,2025-07-13,677.50,20700000.00,661.50,4441670.00,3855353.00
dig-09,Garcia (M. Francese),2025-07-13,190.00,61000000.00,177.14,17936000.00,11936000.00
dig-17,Piana Degli Albanesi,2025-07-13,609.00,25000000.00,602.60,10385720.27,8385720.27
dig-12,Leone,2025-07-13,828.00,4150000.00,826.18,3231000.00,1981000.00
dig-18,Poma,2025-07-13,195.60,72300000.00,181.51,24775000.00,16418108.00
dig-20,Prizzi,2025-07-13,638.00,9250000.00,632.03,3596854.56,2096854.56
dig-21,Ragoleto,2025-07-13,326.00,17160198.00,315.89,8312356.00,4812068.00
dig-22,Rosamarina,2025-07-13,164.00,73034250.00,145.42,21958178.00,12955499.00
dig-25,Santa Rosalia,2025-07-13,378.05,20000000.00,370.30,12182030.00,7046809.00
dig-26,Scanzano,2025-07-13,517.00,7312775.00,515.73,6191471.00,5082077.00
