cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-04-22,950.00,30410000.00,947.78,25232524.00,23232524.00
dig-03,Castello,2025-04-22,292.65,19493500.00,283.98,9686400.00,6083169.00
dig-07,Fanaco,2025-04-22,677.50,20700000.00,662.88,5175650.00,4589333.00
dig-09,Garcia (M. Francese),2025-04-22,190.00,61000000.00,177.90,19760000.00,13760000.00
dig-17,Piana Degli Albanesi,2025-04-22,609.00,25000000.00,603.42,11575745.00,9575745.00
dig-12,Leone,2025-04-22,828.00,4150000.00,826.61,3424500.00,2174500.00
dig-18,Poma,2025-04-22,195.60,72300000.00,183.41,29877500.00,21502609.00
dig-20,Prizzi,2025-04-22,638.00,9250000.00,633.26,4324155.23,2824155.23
dig-21,Ragoleto,2025-04-22,326.00,17160198.00,317.02,9122484.00,5599286.00
dig-22,Rosamarina,2025-04-22,164.00,73034250.00,145.90,22816521.00,13824771.00
dig-25,Santa Rosalia,2025-04-22,378.05,21080000.00,371.64,13400462.00,8303053.00
dig-26,Scanzano,2025-04-22,517.00,7312775.00,517.02,7330982.00,6269941.00
